Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,34,15,12,21,26,30,20,24,21,16,14,24,18,9,36,60,68,77,52,26,10,12,33,41,21,14,19,35,18,27
Houston Aldine C8/AF108/X150,2,Reg,37,24,18,29,42,45,31,31,26,17,24,30,26,18,42,65,61,79,71,33,16,17,36,48,27,18,23,28,22,29
Channelview C15/AH115,3,Reg,31,22,17,23,37,35,21,25,30,21,20,24,22,16,34,68,56,79,48,31,13,15,39,45,23,20,22,31,17,24
Northwest Harris Co. C26/A110/X154,2,Reg,36,25,19,35,48,44,31,25,23,18,26,40,29,19,43,41,41,51,58,38,20,18,29,38,24,18,22,35,27,35
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,33,24,21,26,38,32,21,23,26,27,25,29,NV,23,37,40,88,89,48,37,19,19,35,42,24,28,22,36,23,30
Seabrook Friendship Park C45,1,Reg,29,25,22,24,32,27,20,21,22,25,26,26,24,23,36,34,86,77,38,33,18,19,30,43,22,21,17,34,24,30
Houston Bayland Park C53/A146,1,Reg,53,25,18,30,39,31,24,24,21,20,23,31,25,17,35,40,55,54,36,28,17,14,28,37,19,15,27,37,20,27
Conroe Relocated C78/A321,1,Reg,35,25,23,30,33,48,37,34,26,22,25,30,29,22,35,45,49,57,64,43,24,18,29,38,42,22,20,28,24,33
Manvel Croix Park C84,1,Reg,35,22,18,27,30,27,21,23,22,24,23,29,25,21,30,31,46,47,34,30,NA,NA,NA,NV,18,13,24,31,21,27
Clinton C403/C304/AH113,3,Reg,43,22,20,NV,32,29,20,24,20,13,20,27,23,17,33,41,65,65,41,29,13,14,32,34,16,12,22,37,20,28
Houston North Wayside C405/C1033,1,Reg,31,17,13,NV,32,29,21,21,NV,NV,11,23,15,10,31,52,48,65,50,19,7,10,28,27,16,8,18,23,15,23
Houston Monroe C406,1,Reg,31,19,18,25,31,27,19,20,21,19,21,25,21,18,30,27,54,48,31,24,14,13,30,32,17,18,15,32,18,24
Lang C408,2,Reg,39,23,13,25,40,36,21,25,21,15,16,27,22,13,37,44,54,62,40,30,16,13,28,38,23,14,23,29,21,28
Houston Croquet C409,2,Reg,41,22,18,28,33,28,21,22,24,19,22,29,25,18,30,34,52,48,34,25,18,15,29,36,20,15,26,37,21,25
Houston Westhollow C410/C3003,1,Reg,55,26,19,33,44,33,24,23,24,20,24,32,25,NV,31,40,48,51,36,30,21,17,28,38,22,18,27,40,24,30
Park Place C416,1,Reg,41,21,17,28,37,31,23,25,24,19,22,28,23,17,33,33,63,62,38,29,15,14,33,39,20,16,20,38,20,28
Baytown Wetlands Center C552,1,Non,13,10,10,8,15,13,8,9,12,8,10,10,11,12,15,22,40,39,21,16,8,7,18,25,9,16,8,20,12,16
Crosby Library C553,1,Non,32,21,19,24,36,38,29,32,26,21,22,24,20,14,25,39,26,31,18,13,8,7,16,21,11,9,9,11,9,13
La Porte Sylvan Beach C556,1,Non,13,10,9,10,11,12,8,8,11,10,11,10,10,11,13,15,40,32,17,16,10,10,16,22,9,8,7,14,9,14
Tom Bass C558,1,Non,25,12,7,17,24,20,13,16,10,9,10,19,14,8,22,19,36,37,22,18,12,9,15,25,12,7,11,24,11,16
Katy Park C559,1,Non,39,21,9,23,32,26,16,12,13,16,18,24,21,14,20,22,27,30,28,25,14,7,17,1,0,9,17,1,0,0
Atascocita C560,1,Non,17,12,9,13,21,25,18,18,11,11,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meyer Park C561,1,Non,22,15,9,14,27,29,18,18,11,10,12,19,16,9,25,26,25,41,37,21,11,9,17,22,17,9,14,18,13,19
Bunker Hill Village C562,1,Non,36,13,9,21,26,23,18,18,14,11,13,21,19,9,24,31,37,41,30,22,13,10,21,29,14,9,20,26,15,21
Huffman Wolf Road C563,1,Non,17,12,11,15,18,24,22,20,15,14,13,14,16,11,19,24,24,32,26,17,10,13,21,28,17,12,10,13,10,16
HRM-3 Haden Road C603/A114,1,Non,38,19,18,27,38,34,22,25,25,21,20,30,23,19,36,71,63,77,55,30,10,14,35,41,18,17,22,36,20,27
Wallisville Road C617,1,Non,36,29,23,28,47,39,26,31,38,30,27,30,27,24,40,73,59,76,45,36,20,22,53,60,25,29,23,38,24,33
Danciger C618,1,Non,37,16,13,20,24,20,15,19,19,22,21,23,25,21,22,28,35,37,25,18,17,13,27,31,18,14,24,26,19,20
Texas City 34th St. C620,1,Non,34,26,26,29,35,28,20,25,28,30,30,30,31,27,40,38,78,71,41,36,22,20,35,42,22,25,32,34,26,33
UH Moody Tower C695,1,Non,51,25,19,31,44,35,26,28,27,NV,26,32,24,17,36,38,69,68,42,33,20,18,36,44,23,19,26,NV,NA,NA
UH WG Jones Forest C698,1,Non,35,NV,20,28,37,51,35,31,24,22,25,29,NV,20,34,42,42,65,77,42,NV,18,28,40,NV,19,21,30,24,32
UH West Liberty C699,1,Non,29,20,17,25,29,39,33,34,26,24,21,24,26,18,34,40,42,51,41,29,13,20,39,52,NV,21,16,23,16,26
Lynchburg Ferry C1015/A165,1,Reg,33,26,20,25,37,33,20,25,27,27,26,27,24,23,34,74,58,80,49,33,16,17,36,43,21,23,15,34,20,27
