Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,13,24,23,22,21,22,19,26,23,30,28,30,33,33,38,33,27,26,33,32,26,26,29,36,34,33,31,33,56,53,42
Houston Aldine C8/AF108/X150,2,Reg,19,27,29,23,23,25,24,30,30,38,36,36,42,44,49,42,32,33,43,43,39,31,37,47,48,44,39,43,62,58,51
Channelview C15/AH115,3,Reg,14,20,22,20,20,20,17,24,20,29,28,29,33,32,34,29,24,24,33,28,25,22,28,32,35,38,30,29,51,44,43
Northwest Harris Co. C26/A110/X154,2,Reg,24,24,24,20,20,26,23,27,29,37,30,26,28,31,39,37,27,27,28,32,32,27,28,35,36,29,37,38,38,46,50
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,14,17,19,18,19,19,17,22,20,24,26,21,24,25,31,27,23,24,24,23,21,21,26,27,26,25,24,24,69,55,46
Seabrook Friendship Park C45,1,Reg,17,19,19,19,19,20,19,24,22,26,27,22,23,24,27,25,22,23,24,21,20,NV,NV,23,26,24,22,24,52,62,52
Houston Bayland Park C53/A146,1,Reg,16,19,16,14,14,19,17,21,19,23,21,21,23,25,30,29,21,21,22,25,23,22,26,29,29,24,25,26,49,66,60
Conroe Relocated C78/A321,1,Reg,29,41,34,26,29,37,33,38,47,61,47,34,39,48,63,56,42,42,39,48,36,39,40,54,46,40,59,65,48,41,51
Manvel Croix Park C84,1,Reg,18,26,23,21,21,22,21,25,22,24,25,23,22,NV,31,28,24,23,23,23,22,23,24,28,28,22,24,27,34,71,69
Clinton C403/C304/AH113,3,Reg,12,20,21,20,20,20,17,20,19,21,22,25,22,26,29,26,21,25,26,23,23,20,22,28,28,25,24,24,54,56,48
Houston North Wayside C405/C1033,1,Reg,9,17,19,16,17,18,17,21,20,25,24,26,29,30,32,28,22,23,30,26,21,20,22,30,32,31,26,29,48,44,40
Houston Monroe C406,1,Reg,13,18,18,18,18,18,17,20,18,20,20,20,20,23,27,25,21,21,19,20,19,20,22,25,23,19,21,21,41,59,51
Lang C408,2,Reg,16,24,25,21,20,24,22,26,25,33,31,31,34,36,40,37,29,28,33,39,30,31,34,38,37,33,34,36,53,58,57
Houston Croquet C409,2,Reg,17,26,21,19,18,23,22,26,22,24,23,23,25,26,29,30,22,22,23,25,24,23,24,27,29,24,26,28,43,71,60
Houston Westhollow C410/C3003,1,Reg,21,22,23,21,21,23,21,25,23,29,26,24,25,29,35,31,25,27,28,28,25,25,25,32,32,28,28,32,40,62,63
Houston Texas Avenue C411,1,Reg,13,18,20,18,18,18,15,21,18,24,24,24,25,27,30,27,21,22,24,24,22,21,21,28,29,25,24,24,51,50,44
Park Place C416,1,Reg,15,21,21,20,20,21,19,24,21,25,24,24,24,27,30,29,22,24,25,24,21,22,23,29,28,23,27,25,59,64,50
Sheldon C551,1,Non,NA,NV,38,37,36,36,34,40,37,48,45,47,52,48,56,36,28,26,36,32,24,21,31,36,37,38,33,34,48,41,41
