Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,85,45,30,36,67,72,64,45,58,40,21,22,33,27,24,34,62,41,19,39,47,48,55,48,61,100,83,54,41,28
Houston Aldine C8/AF108/X150,2,Reg,66,41,31,40,57,70,57,48,51,42,24,26,39,29,30,34,53,41,16,40,43,50,48,47,60,69,95,55,49,27
Channelview C15/AH115,3,Reg,71,55,27,34,60,57,61,49,56,39,21,24,37,25,24,31,58,36,20,35,45,51,52,48,63,77,77,61,39,28
Northwest Harris Co. C26/A110/X154,2,Reg,84,36,30,45,60,75,54,50,59,38,23,33,39,28,32,37,57,54,18,33,43,53,47,47,61,69,99,NV,NA,NV
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,91,41,23,31,57,49,74,56,56,33,17,24,31,23,20,38,55,38,28,38,55,54,56,49,67,85,77,54,36,28
Seabrook Friendship Park C45,1,Reg,67,49,22,28,64,38,NV,NV,56,32,14,24,29,20,18,48,49,39,33,40,50,57,55,51,71,84,78,58,41,30
Houston Bayland Park C53/A146,1,Reg,104,39,23,32,66,43,69,60,72,32,17,25,29,21,24,33,67,42,16,27,56,54,55,53,70,99,71,47,34,25
Conroe Relocated C78/A321,1,Reg,63,53,41,51,40,52,50,49,47,51,40,38,50,46,47,28,48,45,21,32,39,51,44,42,55,64,82,70,56,25
Houston Regional Office C81,1,Reg,93,33,24,30,63,50,58,43,58,33,16,20,27,20,19,33,62,37,21,34,48,NV,NA,NA,NA,NA,NA,NA,NA,NA
Manvel Croix Park C84,1,Reg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,25,35,66,48,24,38,64,68,67,71,94,136,81,54,39,31
Clinton C403/C304/AH113,3,Reg,90,42,27,29,62,59,64,49,61,35,16,19,26,18,20,37,62,35,17,36,54,51,55,50,66,102,68,43,33,27
Houston North Wayside C405/C1033,1,Reg,75,38,29,33,59,70,54,44,54,37,19,20,34,23,25,32,55,35,15,37,40,47,49,48,63,78,85,44,40,24
Houston Monroe C406,1,Reg,97,35,27,31,62,45,85,57,61,34,19,23,33,23,22,37,60,41,25,40,59,53,61,56,71,104,73,51,34,30
Lang C408,2,Reg,84,44,28,41,69,66,62,53,61,41,25,28,39,29,30,38,60,45,18,26,44,52,52,51,63,84,84,54,41,25
Houston Croquet C409,2,Reg,94,31,24,31,60,35,76,61,76,34,16,24,29,20,25,33,67,42,19,33,64,58,64,58,77,121,71,48,36,28
Houston Westhollow C410/C3003,1,Reg,91,34,27,37,60,45,66,63,73,35,20,27,31,23,22,35,68,44,19,32,59,58,58,52,70,82,72,52,37,27
Houston Texas Avenue C411,1,Reg,94,44,28,33,69,57,61,50,64,37,20,22,33,23,23,38,64,42,NV,NV,51,51,55,55,70,96,74,46,37,27
Park Place C416,1,Reg,99,35,26,31,65,49,71,47,67,34,19,22,31,23,23,38,64,42,23,38,58,53,58,52,71,114,75,52,38,28
Sheldon C551,1,Non,68,49,27,36,49,57,53,43,49,40,18,21,31,24,22,28,51,29,16,29,37,46,47,44,NV,NA,NA,NA,NV,22
