Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,32,29,51,45,39,NV,35,51,27,20,23,26,33,27,21,26,NV,15,16,14,NV,NV,NV,18,18,24,NV,NV,25,25
Houston Aldine C8/AF108/X150,2,Reg,NV,38,54,54,48,60,52,72,34,25,28,35,50,35,34,36,22,24,23,21,27,40,28,25,23,37,46,32,27,25
Channelview C15/AH115,3,Reg,34,32,47,52,41,44,37,55,30,22,21,26,31,31,26,26,20,19,19,17,18,32,23,20,21,23,30,24,24,25
Northwest Harris Co. C26/A110/X154,2,Reg,44,38,34,46,38,NV,49,56,30,25,26,36,43,34,36,38,23,29,21,NV,NA,NA,NA,NA,NA,NV,32,26,22,19
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,35,31,49,50,30,33,38,48,30,22,23,26,29,29,27,28,24,24,24,19,20,27,23,23,22,23,26,22,24,23
Seabrook Friendship Park C45,1,Reg,29,28,31,42,25,28,34,42,25,20,22,23,26,28,25,27,24,24,23,19,18,22,19,22,22,20,24,19,20,19
Houston Bayland Park C53/A146,1,Reg,34,32,49,36,30,32,32,40,28,21,22,28,30,26,26,28,24,22,21,17,20,26,22,26,22,22,26,22,17,15
Conroe Relocated C78/A321,1,Reg,64,51,39,51,44,63,67,73,43,28,36,49,59,47,46,38,24,29,23,20,51,33,37,31,25,50,49,43,40,36
Manvel Croix Park C84,1,Reg,33,24,39,29,23,27,28,35,26,19,22,26,24,28,22,25,22,21,21,16,16,19,20,23,20,24,23,20,18,17
Clinton C403/C304/AH113,3,Reg,31,28,51,36,30,31,28,40,26,19,21,23,26,20,21,26,20,20,22,14,NA,NV,20,21,16,21,22,18,18,19
Houston North Wayside C405/C1033,1,Reg,35,30,47,40,39,44,37,54,25,18,20,25,36,21,23,28,16,15,14,15,13,29,19,19,15,25,29,20,18,18
Houston Monroe C406,1,Reg,31,27,41,35,25,27,26,35,25,19,21,23,25,NV,21,27,22,21,22,16,15,21,20,22,18,21,21,17,18,18
Lang C408,2,Reg,39,38,47,40,35,44,38,48,31,24,23,32,35,28,27,30,22,21,16,15,23,29,23,24,21,25,33,26,21,18
Houston Croquet C409,2,Reg,31,NV,NV,NV,25,28,28,37,24,17,20,27,26,24,25,26,22,22,20,17,19,24,21,24,21,22,24,21,NV,15
Houston Westhollow C410/C3003,1,Reg,38,32,42,36,29,37,33,37,29,20,24,27,34,32,26,27,27,24,21,18,23,29,23,27,22,25,31,23,21,19
Park Place C416,1,Reg,35,29,46,41,32,32,31,44,28,20,24,27,29,25,24,29,23,23,23,NV,NV,26,21,24,20,25,27,22,20,19
Baytown Wetlands Center C552,1,Non,15,13,27,35,15,19,22,28,15,12,12,13,17,17,14,14,12,10,9,7,6,8,7,9,11,11,12,10,10,9
Crosby Library C553,1,Non,42,39,44,65,45,53,43,54,35,26,27,32,38,37,30,27,19,21,20,19,20,37,26,23,27,34,41,32,30,32
Tom Bass C558,1,Non,26,21,31,26,20,22,24,30,22,17,19,21,21,19,18,21,16,16,14,12,11,15,16,17,16,18,18,14,15,14
Katy Park C559,1,Non,28,26,31,28,25,31,31,31,20,15,19,22,27,18,19,21,19,20,13,11,19,19,15,17,15,18,21,18,13,10
Atascocita C560,1,Non,38,33,36,50,35,48,39,63,25,14,17,25,42,25,23,22,5,5,6,4,11,19,10,7,5,20,30,19,14,16
Meyer Park C561,1,Non,34,26,26,32,28,38,32,44,20,15,18,22,29,24,21,24,11,13,10,11,18,13,16,15,13,20,25,18,17,17
Bunker Hill Village C562,1,Non,30,28,37,30,25,30,28,35,24,18,18,23,27,21,19,23,18,14,12,10,13,16,16,19,17,19,23,20,17,15
Huffman Wolf Road C563,1,Non,29,25,21,40,27,30,27,31,24,16,18,21,29,22,19,16,12,14,13,11,16,27,19,15,16,23,27,22,21,22
HRM-3 Haden Road C603/A114,1,Non,34,31,50,44,40,40,37,50,25,20,20,24,30,27,22,25,19,19,18,16,17,29,21,19,20,23,28,22,22,22
Wallisville Road C617,1,Non,35,33,46,63,45,44,42,50,32,24,23,28,34,32,27,26,21,23,22,18,21,33,23,21,25,26,33,26,25,23
Danciger C618,1,Non,28,23,29,24,18,22,22,23,20,17,20,22,21,21,20,24,20,15,16,15,17,15,17,22,15,16,18,15,14,15
Texas City 34th St. C620,1,Non,27,25,28,34,19,24,32,39,24,21,24,24,24,26,24,28,25,23,25,NV,NV,NV,19,23,22,19,21,18,20,19
UH Moody Tower C695,1,Non,40,33,51,44,37,36,34,47,30,22,26,29,33,NV,27,32,24,25,25,19,23,31,24,26,23,29,30,26,23,21
UH WG Jones Forest C698,1,Non,57,45,37,53,45,65,67,76,39,26,34,43,58,40,44,40,22,29,21,22,NV,32,32,27,22,44,47,37,34,31
UH West Liberty C699,1,Non,41,36,31,64,39,43,38,44,34,25,25,31,40,NV,26,22,17,20,18,14,19,32,25,20,21,32,40,30,28,28
Lynchburg Ferry C1015/A165,1,Reg,33,31,48,54,41,37,36,42,25,20,20,NA,NV,33,27,26,23,23,22,16,15,25,20,21,21,22,26,21,22,22
Lake Jackson C1016,1,Reg,28,25,24,25,19,23,26,26,23,21,23,24,23,24,24,28,27,20,23,19,16,19,20,27,19,19,21,19,18,17
Baytown Garth C1017,1,Reg,37,34,46,66,45,45,42,49,33,25,23,29,34,33,28,27,24,25,25,19,NA,NV,23,24,26,28,34,27,26,24
Galveston 99th St. C1034/A320/X183,1,Reg,27,27,23,26,20,23,37,39,25,23,26,26,26,27,26,28,26,27,25,23,20,18,18,24,23,22,21,20,20,20
UH Smith Point C1606,1,Non,28,28,31,42,20,NA,NA,NA,NA,NA,NA,NA,NA,NV,25,26,25,27,26,19,19,19,21,22,25,25,24,21,22,20
Oyster Creek C1607,1,Non,24,24,22,24,19,23,25,27,23,21,24,NV,22,24,23,25,23,22,23,19,16,18,18,27,19,20,21,20,20,17
