Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,53,57,55,36,37,30,25,27,27,25,28,33,38,54,74,NV,19,18,20,22,24,25,16,38,23,NV,27,43,49,38,48
Houston Aldine C8/AF108/X150,2,Reg,55,64,55,50,60,41,33,38,35,31,36,46,51,54,69,68,NV,NA,NA,NV,33,33,25,45,23,25,34,34,65,50,56
Channelview C15/AH115,3,Reg,44,51,55,42,52,33,28,30,31,27,29,35,45,51,57,59,26,21,24,24,28,25,22,39,26,24,35,35,43,38,47
Northwest Harris Co. C26/A110/X154,2,Reg,46,46,35,39,38,36,26,31,30,26,30,33,34,33,47,55,29,23,32,21,31,50,30,45,26,28,33,40,70,54,53
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,46,67,64,35,35,31,22,29,29,25,29,31,33,59,107,62,22,18,22,NV,25,29,22,37,29,24,29,44,44,43,52
Seabrook Friendship Park C45,1,Reg,34,47,48,29,29,25,19,27,25,18,23,25,27,45,90,53,19,15,18,21,21,24,24,30,25,20,25,28,37,44,46
Houston Bayland Park C53/A146,1,Reg,73,69,60,38,42,32,25,34,33,28,28,36,38,52,73,51,25,21,24,26,29,35,29,49,26,26,27,47,NV,37,76
Conroe Relocated C78/A321,1,Reg,40,44,35,39,39,47,39,34,44,39,36,47,41,33,41,51,34,29,45,35,40,35,27,29,28,37,48,31,52,42,49
Manvel Croix Park C84,1,Reg,38,47,44,32,28,24,18,25,23,19,23,25,25,41,63,36,19,16,18,19,21,26,22,36,23,21,21,32,44,29,56
Clinton C403/C304/AH113,3,Reg,57,60,57,35,NV,26,19,23,20,21,25,24,30,51,78,48,18,17,19,18,21,26,17,36,23,18,16,39,46,35,46
Houston North Wayside C405/C1033,1,Reg,49,51,50,39,44,31,23,26,24,23,28,34,41,46,64,56,21,17,22,20,27,31,16,39,21,20,25,32,54,40,47
Houston Monroe C406,1,Reg,49,58,53,32,31,25,19,25,23,21,26,NV,NV,NV,82,49,20,19,20,21,21,28,21,35,24,21,22,40,50,32,61
Lang C408,2,Reg,60,67,52,39,45,33,27,31,33,33,28,38,41,48,64,54,25,21,27,24,32,36,24,49,23,27,31,38,69,42,63
