Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,43,28,25,18,24,42,38,29,31,57,39,43,33,39,26,26,25,24,22,24,26,23,28,36,NV,NV,46,23,19,30,54
Houston Aldine C8/AF108/X150,2,Reg,52,33,30,24,33,47,42,38,45,66,39,NV,37,40,27,30,30,32,30,29,33,36,37,51,54,64,55,28,24,34,52
Channelview C15/AH115,3,Reg,45,28,23,21,25,61,45,30,31,56,39,48,33,41,26,27,23,23,23,25,30,24,33,41,48,57,44,23,22,32,39
Northwest Harris Co. C26/A110/X154,2,Reg,43,31,29,22,27,36,28,30,32,36,40,47,35,36,29,27,28,30,29,30,26,26,37,49,51,60,54,21,23,27,42
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,43,28,25,19,21,37,32,23,27,44,50,49,36,40,28,26,22,24,23,23,26,25,36,47,64,59,47,25,22,31,47
Seabrook Friendship Park C45,1,Reg,41,24,23,18,17,35,33,22,23,33,46,44,34,34,23,20,20,19,20,19,24,24,30,40,51,47,37,21,19,24,37
Houston Bayland Park C53/A146,1,Reg,44,29,NV,21,23,34,35,29,33,49,59,59,42,40,27,24,28,27,25,27,28,NV,43,60,74,73,56,28,23,31,53
Conroe Relocated C78/A321,1,Reg,56,35,43,31,47,51,34,39,48,42,33,47,35,33,30,35,NV,43,44,43,28,32,38,47,46,51,45,29,28,27,32
Manvel Croix Park C84,1,Reg,36,19,16,NV,NV,NV,30,25,27,42,NA,NV,42,36,24,19,23,24,20,22,22,23,39,55,79,57,44,24,18,26,37
Clinton C403/C304/AH113,3,Reg,33,21,18,17,19,31,30,22,25,53,47,49,37,39,22,22,21,21,18,22,24,20,36,44,59,62,45,23,15,24,46
Houston North Wayside C405/C1033,1,Reg,41,25,22,18,24,37,35,26,30,54,39,43,32,33,20,23,23,23,22,23,25,24,32,40,45,55,47,22,18,25,49
Houston Monroe C406,1,Reg,37,22,23,18,20,31,29,23,25,39,52,49,40,37,24,24,23,21,19,21,22,22,31,45,69,53,43,25,20,NV,39
Lang C408,2,Reg,42,30,26,20,25,40,35,31,39,53,45,47,36,39,29,24,28,27,26,27,28,26,34,50,60,64,59,25,20,28,56
Houston Croquet C409,2,Reg,39,23,22,17,19,28,29,22,24,43,54,53,37,36,23,21,25,23,21,24,24,24,37,54,77,60,49,24,18,29,42
Houston Westhollow C410/C3003,1,Reg,39,28,26,21,23,37,31,25,28,NV,53,52,36,NV,25,25,25,24,23,26,27,23,41,58,73,76,64,24,21,NV,49
Park Place C416,1,Reg,40,24,25,20,24,34,33,26,29,48,54,51,40,40,27,26,27,24,23,24,25,23,34,45,69,61,48,26,20,30,47
Baytown Wetlands Center C552,1,Non,24,15,10,9,10,24,19,13,14,31,22,32,22,28,12,11,13,18,20,23,27,22,34,45,54,54,38,22,19,30,36
Crosby Library C553,1,Non,41,26,20,17,27,54,37,29,32,41,34,45,31,40,26,27,27,26,26,27,32,29,31,40,47,59,39,26,24,31,34
West Houston C554,1,Non,NA,NV,28,30,21,37,26,29,24,NV,NV,44,24,33,17,NV,27,24,23,25,NV,19,37,42,NV,46,54,35,23,24,51
La Porte Sylvan Beach C556,1,Non,38,22,22,17,16,32,30,21,21,32,38,42,31,34,21,18,19,18,19,19,24,22,28,39,44,42,34,21,16,27,32
Tom Bass C558,1,Non,41,27,28,22,24,32,30,27,27,41,59,48,43,40,24,26,23,25,24,24,28,27,38,51,82,59,45,31,23,31,45
Katy Park C559,1,Non,36,26,25,18,18,26,28,24,24,32,40,43,35,36,26,22,23,23,23,25,26,25,42,57,70,81,53,NV,NV,NV,NA
Atascocita C560,1,Non,41,23,20,15,26,43,31,29,31,43,25,33,23,27,19,22,21,20,28,29,28,25,30,40,41,54,45,23,22,27,39
Meyer Park C561,1,Non,45,27,25,21,29,41,31,32,37,46,38,44,32,33,26,27,27,32,30,31,26,27,38,53,54,63,56,22,21,26,43
Huffman Wolf Road C563,1,Non,29,19,18,15,25,37,26,24,26,27,21,28,18,19,16,20,19,20,NV,NA,NA,NV,36,43,47,64,47,33,33,34,37
HRM-3 Haden Road C603/A114,1,Non,42,26,22,NV,NV,41,NV,27,29,52,36,43,32,36,25,19,25,25,22,23,26,NV,33,42,55,60,40,22,19,30,47
Wallisville Road C617,1,Non,NV,NV,25,24,28,52,50,32,34,56,38,48,33,39,29,25,28,26,27,28,33,28,36,44,51,61,45,26,25,36,46
Danciger C618,1,Non,34,23,20,16,15,25,25,19,20,25,48,56,37,35,20,19,19,19,17,18,22,21,45,66,66,57,41,17,17,26,28
Texas City 34th St. C620,1,Non,43,29,28,23,20,35,35,24,24,33,61,58,46,38,29,25,25,24,24,23,27,29,42,48,65,52,43,25,23,24,41
UH Moody Tower C695,1,Non,42,27,28,21,26,36,38,28,32,55,53,54,42,41,28,29,28,27,25,25,27,29,39,50,67,70,53,28,23,31,54
UH WG Jones Forest C698,1,Non,57,40,39,28,41,50,35,39,49,42,39,50,37,35,31,35,38,41,43,40,31,31,41,51,51,57,50,26,27,28,41
UH West Liberty C699,1,Non,42,29,23,22,35,53,42,37,40,42,32,45,27,32,26,29,27,30,28,29,30,27,32,40,44,61,41,28,30,31,33
Lynchburg Ferry C1015/A165,1,Reg,42,29,22,20,20,50,38,24,25,52,30,38,27,36,26,25,22,21,23,23,25,23,28,38,47,53,42,23,21,30,40
Lake Jackson C1016,1,Reg,37,23,19,17,15,24,26,17,18,19,59,60,38,35,22,21,19,19,17,18,20,21,47,52,63,NV,NA,NA,NV,21,30
Baytown Garth C1017,1,Reg,44,29,25,23,27,53,52,34,34,57,37,47,33,38,28,24,27,26,26,26,32,29,35,43,49,60,44,25,24,36,43
Galveston 99th St. C1034/A320/X183,1,Reg,40,27,25,21,20,32,32,20,19,25,66,52,45,34,29,22,22,21,22,20,25,26,35,46,59,48,39,24,20,20,34
UH Smith Point C1606,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,37
Oyster Creek C1607,1,Non,39,25,23,17,15,26,29,17,18,20,55,62,40,30,24,20,19,NV,17,17,21,21,46,49,58,50,37,19,18,21,31
