Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,36,52,50,50,78,60,40,38,34,30,39,27,29,31,21,29,36,41,37,26,28,21,25,31,38,39,29,27,21,34,70
Houston Aldine C8/AF108/X150,2,Reg,42,51,48,54,82,55,47,46,35,32,47,30,33,31,23,34,40,43,30,30,31,23,26,35,40,45,36,27,21,37,66
Channelview C15/AH115,3,Reg,29,56,53,51,67,55,41,38,32,30,32,27,29,29,20,31,33,42,34,25,25,24,25,30,34,33,27,24,18,24,67
Northwest Harris Co. C26/A110/X154,2,Reg,42,40,44,51,74,60,43,40,37,32,54,26,33,29,26,34,41,41,22,33,34,26,27,29,36,36,33,40,32,45,53
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,41,50,43,46,60,49,35,31,28,25,31,24,24,26,19,25,29,44,35,24,23,22,22,27,30,30,24,23,22,26,45
Seabrook Friendship Park C45,1,Reg,26,37,37,44,55,40,34,30,28,24,26,22,23,21,18,27,28,43,34,24,21,20,19,24,27,27,22,24,23,25,40
Houston Bayland Park C53/A146,1,Reg,24,38,41,42,63,61,34,36,29,22,25,24,24,25,20,26,30,43,29,23,24,22,20,28,31,32,28,29,24,23,39
Conroe Relocated C78/A321,1,Reg,51,41,44,58,56,54,NA,NV,47,41,54,37,42,36,27,26,49,44,22,45,48,33,37,34,36,43,41,40,24,35,54
Houston Regional Office C81,1,Reg,25,42,42,42,70,56,34,32,28,24,28,21,22,24,16,22,31,38,28,20,21,18,22,25,30,30,23,21,19,22,45
Manvel Croix Park C84,1,Reg,25,32,43,45,56,50,31,32,30,24,24,24,23,24,19,24,32,45,NV,23,25,23,24,28,29,28,26,28,27,24,38
Clinton C403/C304/AH113,3,Reg,24,43,46,44,68,53,31,29,28,25,29,18,23,24,14,25,32,38,37,19,20,17,21,26,29,29,20,23,20,26,54
Houston North Wayside C405/C1033,1,Reg,32,50,47,49,80,53,41,38,32,29,40,24,28,28,18,29,39,42,34,27,27,18,25,32,39,41,32,26,17,34,67
Houston Monroe C406,1,Reg,20,32,35,39,55,47,28,27,25,20,21,21,20,23,17,19,26,35,30,22,21,19,21,24,27,26,21,22,21,19,38
Lang C408,2,Reg,28,44,44,46,80,61,41,41,32,27,35,26,29,27,20,29,34,44,26,25,28,18,23,27,32,35,31,30,22,28,50
Houston Croquet C409,2,Reg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,21,28,31,30,24,27,24,22,36
Houston Westhollow C410/C3003,1,Reg,25,35,41,45,60,61,35,35,31,24,28,24,26,26,21,27,33,37,27,25,26,22,24,25,31,29,26,27,24,25,43
Houston Texas Avenue C411,1,Reg,24,43,42,43,74,55,31,30,27,25,28,19,22,23,14,25,31,39,30,18,18,17,20,29,29,29,22,23,21,26,47
Park Place C416,1,Reg,22,38,39,40,63,54,32,29,27,24,27,22,23,25,18,23,29,38,32,24,22,20,21,25,31,29,23,24,22,24,43
Sheldon C551,1,Non,31,55,52,56,72,58,41,40,33,33,36,30,33,33,22,33,40,40,31,26,27,21,25,33,37,40,30,22,17,24,65
Baytown Wetlands Center C552,1,Non,27,60,51,45,53,41,38,33,29,26,25,23,24,25,17,31,32,46,35,26,25,21,21,25,29,28,26,25,20,22,44
Crosby Library C553,1,Non,NA,NA,NA,NA,NV,54,55,52,37,35,36,37,40,37,26,38,46,45,35,33,41,28,29,33,38,41,37,30,18,24,51
West Houston C554,1,Non,31,40,43,47,69,62,38,37,34,27,33,23,28,29,23,30,37,40,23,27,28,23,23,27,33,31,28,32,28,30,47
La Porte Sylvan Beach C556,1,Non,28,45,42,44,54,39,37,32,27,26,26,23,24,24,19,25,28,45,33,24,22,21,20,25,27,27,23,24,23,25,39
Mercer Arboretum C557,1,Non,48,51,49,55,80,50,52,49,38,35,53,30,37,34,24,36,46,45,23,34,35,26,NV,32,NA,NV,42,39,23,45,69
Tom Bass C558,1,Non,20,31,37,43,56,47,27,27,25,21,20,19,21,22,16,19,28,42,30,20,21,18,20,24,25,25,22,23,22,19,34
Katy Park C559,1,Non,23,31,37,41,53,51,31,31,26,24,27,21,22,23,21,24,34,33,22,23,22,20,20,23,28,28,24,24,24,24,39
Atascocita C560,1,Non,45,56,50,60,86,51,52,50,38,37,47,33,40,36,27,40,47,40,30,33,35,25,27,36,40,51,41,34,21,31,62
Meyer Park C561,1,Non,40,43,43,47,77,56,45,42,35,31,53,27,34,29,24,35,39,45,24,31,34,22,28,26,36,38,33,35,25,44,53
Bunker Hill Village C562,1,Non,27,41,43,45,71,63,38,38,31,23,28,23,26,26,21,28,33,41,24,23,24,22,24,24,33,34,26,30,23,25,44
Huffman Wolf Road C563,1,Non,33,49,53,59,63,47,59,56,40,39,41,39,44,42,31,36,48,40,32,41,44,32,35,27,26,44,39,32,21,26,NV
Clear Brook High School C570,1,Non,21,29,34,41,57,39,29,27,26,21,22,22,19,22,18,22,24,39,34,20,19,19,21,25,22,25,20,20,20,18,37
Clear Lake High School C572,1,Non,28,35,38,46,59,45,30,29,28,23,28,23,22,24,19,24,28,47,33,23,21,21,21,26,NV,26,22,23,23,25,40
HRM-3 Haden Road C603/A114,1,Non,31,51,45,44,69,55,40,32,27,26,33,23,23,26,NV,26,30,38,NV,21,23,18,19,24,32,33,23,21,16,24,63
Wallisville Road C617,1,Non,27,58,57,59,75,55,58,45,38,32,32,33,38,36,22,39,39,52,41,35,34,26,26,34,42,42,33,33,20,24,50
Danciger C618,1,Non,25,33,38,43,49,42,30,30,27,21,20,21,21,20,24,27,33,36,36,23,24,24,24,24,25,26,28,22,27,22,33
Mustang Bayou C619,1,Non,NV,31,35,46,55,41,29,30,30,20,22,24,21,22,NV,25,25,32,37,21,18,19,20,26,27,26,23,22,26,20,27
Texas City 34th St. C620,1,Non,21,31,30,39,55,34,26,24,23,20,18,17,15,17,14,24,22,33,32,18,13,17,17,17,20,20,16,18,23,19,34
UH Moody Tower C695,1,Non,27,45,44,45,70,62,35,NV,NA,NV,29,26,NA,29,22,27,32,43,37,25,24,22,NV,NA,NV,32,26,27,25,NV,NA
U of H-Sugarland C696,1,Non,22,35,39,44,50,52,31,33,28,24,24,23,NV,NV,21,25,35,36,29,23,20,20,21,24,27,27,23,22,25,22,37
UH Coastal Center C697,1,Non,20,29,29,40,57,35,27,26,24,18,18,20,NV,19,16,23,22,36,35,20,15,18,18,23,21,22,19,19,24,19,36
UH WG Jones Forest C698,1,Non,61,46,50,60,68,61,55,54,50,44,65,37,NV,37,31,36,55,46,28,47,52,35,41,38,39,41,45,46,27,52,64
UH West Liberty C699,1,Non,32,54,55,62,65,52,62,57,40,37,40,40,49,47,30,38,50,43,32,45,42,34,36,39,43,47,NV,NA,NA,NA,NA
Lynchburg Ferry C1015/A165,1,Reg,28,54,49,47,63,53,47,35,28,29,28,26,30,29,23,32,33,41,40,24,26,24,24,28,34,32,25,24,19,23,54
Lake Jackson C1016,1,Reg,22,25,28,36,47,35,21,22,22,16,19,18,17,16,16,20,22,22,27,14,16,17,17,17,21,20,22,16,23,18,32
Galveston 99th St. C1034/A320/X183,1,Reg,25,24,28,44,55,31,26,25,26,24,21,18,NV,15,15,29,20,24,34,16,13,16,17,18,20,19,15,23,26,23,34
