Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,52,55,63,26,34,24,20,26,21,28,22,16,22,22,20,28,25,25,25,22,40,47,86,71,62,44,25,20,25,35,48
Houston Aldine C8/AF108/X150,2,Reg,56,65,70,34,45,33,28,32,32,38,24,21,29,32,31,37,40,36,32,30,45,50,77,91,74,55,33,27,26,49,49
Channelview C15/AH115,3,Reg,57,57,59,30,31,28,23,30,24,35,22,16,18,23,25,31,27,30,28,28,46,49,71,78,60,46,25,22,24,33,44
Northwest Harris Co. C26/A110/X154,2,Reg,56,59,71,36,58,36,31,29,29,36,29,21,27,33,30,NA,NA,NA,NA,NA,NA,NV,77,73,77,NV,NV,NV,NV,55,49
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,63,67,65,29,31,31,24,26,26,33,25,18,21,25,26,26,25,25,25,24,38,55,71,64,58,45,24,22,29,37,48
Seabrook Friendship Park C45,1,Reg,76,66,60,35,34,30,23,27,25,29,24,15,17,22,20,21,17,19,21,19,31,54,55,57,51,44,21,20,31,32,41
Houston Bayland Park C53/A146,1,Reg,66,74,73,27,37,30,27,24,23,33,24,17,26,27,28,27,28,29,29,28,36,58,82,63,62,45,27,23,29,42,63
Conroe Relocated C78/A321,1,Reg,54,55,63,42,39,45,39,39,33,37,30,23,45,46,45,40,43,36,33,34,37,44,62,88,59,51,48,40,40,42,42
Manvel Croix Park C84,1,Reg,70,78,67,27,32,28,22,21,19,27,21,19,20,22,22,20,22,20,24,20,36,NV,NV,53,52,41,NV,19,23,36,44
Clinton C403/C304/AH113,3,Reg,NV,NV,65,NA,NA,NV,23,20,22,28,25,18,20,22,20,23,25,27,25,21,41,53,99,60,61,42,21,17,27,35,52
Houston North Wayside C405/C1033,1,Reg,49,50,56,23,32,19,17,20,19,25,20,13,19,21,19,22,25,26,21,19,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV
Houston Monroe C406,1,Reg,57,61,59,23,29,25,22,21,20,28,20,15,17,21,21,21,19,20,22,19,32,52,68,49,49,36,19,15,24,31,41
Lang C408,2,Reg,56,63,69,30,41,31,29,29,28,33,25,20,25,27,29,29,35,28,28,26,37,43,90,63,71,46,30,23,21,44,51
Houston Croquet C409,2,Reg,63,70,NV,27,35,29,26,21,21,NV,NV,NV,NV,NV,22,21,22,23,25,24,35,51,68,53,54,42,23,21,24,36,50
Houston Westhollow C410/C3003,1,Reg,61,69,76,29,39,30,26,25,26,35,28,19,21,26,27,25,29,27,28,29,32,50,77,60,63,44,27,25,26,43,65
Park Place C416,1,Reg,62,64,69,28,33,31,25,23,25,32,25,18,22,26,25,26,25,26,25,24,37,57,90,60,61,43,25,20,28,34,47
Baytown Wetlands Center C552,1,Non,34,43,38,17,16,15,13,15,12,16,10,8,9,12,12,7,10,12,12,12,24,29,33,43,31,25,11,12,13,15,21
Crosby Library C553,1,Non,54,56,60,33,31,33,30,39,24,36,26,20,27,30,33,39,43,35,33,35,44,41,62,87,54,43,29,30,28,37,44
La Porte Sylvan Beach C556,1,Non,41,46,NV,23,23,19,13,16,15,19,16,9,10,13,14,9,6,10,8,8,13,23,27,29,23,21,11,9,15,14,18
Tom Bass C558,1,Non,46,58,51,19,25,22,16,15,14,21,14,14,15,18,16,16,15,14,18,14,21,41,50,40,40,26,17,14,16,22,34
Katy Park C559,1,Non,48,54,67,22,30,23,19,17,20,25,16,12,15,17,19,18,19,16,17,22,27,22,51,42,43,27,20,16,19,38,52
Atascocita C560,1,Non,45,51,59,26,24,24,14,21,14,23,5,4,15,19,9,12,19,19,17,17,24,24,38,57,37,29,17,15,16,23,26
Meyer Park C561,1,Non,33,35,43,21,29,18,16,18,16,18,14,10,16,18,13,16,20,18,17,18,23,27,50,50,46,34,23,19,13,32,29
Bunker Hill Village C562,1,Non,53,58,60,23,32,26,23,22,22,28,20,14,19,21,23,22,25,21,22,21,29,18,62,45,49,32,21,16,15,31,46
Huffman Wolf Road C563,1,Non,30,27,33,19,18,21,20,23,19,21,17,14,18,20,22,25,25,22,21,21,23,23,33,49,31,26,19,19,18,22,25
HRM-3 Haden Road C603/A114,1,Non,56,56,56,25,29,27,22,27,21,31,21,14,17,19,22,26,25,25,19,NA,NA,NA,NA,76,63,46,24,20,25,40,51
Wallisville Road C617,1,Non,63,67,65,36,36,35,28,37,32,43,28,23,27,31,30,39,38,38,31,36,50,50,70,87,54,48,28,32,31,38,51
Danciger C618,1,Non,63,72,56,22,26,22,NV,17,16,22,18,15,16,16,19,17,17,18,23,19,22,28,44,46,45,35,16,19,21,32,38
Texas City 34th St. C620,1,Non,96,73,66,40,38,NV,26,NV,27,29,29,23,NV,26,25,26,24,26,29,25,NV,74,62,62,57,45,22,24,32,39,45
UH Moody Tower C695,1,Non,68,69,73,32,37,34,30,26,28,36,28,21,24,29,28,29,29,30,28,28,41,59,100,67,67,47,29,24,30,39,58
UH WG Jones Forest C698,1,Non,55,57,65,41,41,42,34,35,32,35,28,22,38,42,40,37,39,34,31,34,37,44,55,90,68,54,45,37,36,43,43
UH West Liberty C699,1,Non,51,48,58,31,31,30,32,41,31,31,27,19,27,29,34,37,43,32,31,34,34,36,56,79,51,42,28,23,27,35,40
Lynchburg Ferry C1015/A165,1,Reg,52,59,60,31,28,29,24,25,20,33,23,18,20,NV,25,26,25,25,24,NV,NA,NA,NA,NV,52,45,25,NV,28,34,45
Lake Jackson C1016,1,Reg,77,70,56,28,30,28,21,20,16,26,21,18,17,18,21,21,17,18,24,20,22,26,54,50,48,41,18,20,27,35,40
Baytown Garth C1017,1,Reg,59,63,62,33,33,33,25,35,29,43,26,21,26,30,28,36,35,36,29,34,48,45,69,84,52,45,26,30,30,37,48
Galveston 99th St. C1034/A320/X183,1,Reg,72,64,58,40,37,29,24,23,21,26,26,21,19,22,22,NV,NV,20,21,17,20,73,NV,NV,54,43,22,26,33,36,41
UH Smith Point C1606,1,Non,73,71,60,35,33,32,27,28,27,31,25,20,23,25,24,23,22,24,24,21,37,56,58,66,52,47,23,24,32,36,43
Oyster Creek C1607,1,Non,93,67,58,32,30,30,NV,20,21,26,25,19,17,19,22,20,18,18,23,19,20,25,57,50,50,40,24,21,28,33,40
