Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,23,32,47,19,38,43,46,21,NV,NV,47,NV,NV,29,19,33,37,40,34,37,37,35,49,NV,NV,67,94,62,44,41,NV
Houston Aldine C8/AF108/X150,2,Reg,31,49,47,18,47,40,44,32,24,64,50,43,47,37,29,46,43,47,45,56,48,36,NV,47,61,75,109,86,53,56,40
Channelview C15/AH115,3,Reg,23,37,49,15,39,38,39,24,26,49,49,32,39,32,27,38,45,47,43,47,47,43,60,NV,57,65,87,69,51,52,33
Northwest Harris Co. C26/A110/X154,2,Reg,27,33,30,15,40,36,39,35,15,44,NV,35,31,27,24,32,28,33,31,36,30,26,38,49,61,65,98,66,37,45,42
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,23,27,40,21,39,51,43,31,30,38,36,30,30,27,21,29,31,34,29,31,31,41,53,57,67,85,91,55,38,57,35
Seabrook Friendship Park C45,1,Reg,20,22,32,20,34,52,40,30,29,34,NV,NA,NV,24,21,25,23,25,27,26,26,28,50,55,60,82,88,52,38,36,31
Houston Bayland Park C53/A146,1,Reg,19,24,32,20,43,50,50,30,20,26,31,23,24,21,20,25,28,31,26,29,29,28,36,60,65,77,67,45,37,49,45
Conroe Relocated C78/A321,1,Reg,39,56,38,22,34,33,35,43,25,63,41,50,50,39,27,36,31,38,35,44,34,29,47,51,59,72,74,82,49,46,49
Manvel Croix Park C84,1,Reg,18,20,26,18,41,51,45,31,21,26,25,22,23,23,19,23,20,22,21,25,23,27,37,NV,71,92,57,40,27,42,36
Clinton C403/C304/AH113,3,Reg,20,24,34,20,33,45,44,26,22,32,35,25,27,24,20,24,30,NV,27,29,31,33,38,50,63,68,NV,NA,NA,NV,26
Houston North Wayside C405/C1033,1,Reg,21,31,39,12,35,34,38,22,19,44,42,29,30,25,20,32,34,39,34,36,37,30,46,35,50,57,90,63,44,45,29
Houston Monroe C406,1,Reg,17,21,31,20,34,48,39,27,21,25,29,23,24,22,18,23,25,28,23,25,27,32,43,59,61,82,74,43,30,45,29
Lang C408,2,Reg,26,35,36,22,48,40,47,32,18,41,41,33,34,29,22,31,31,34,32,38,33,29,40,50,64,74,100,58,44,50,42
Houston Croquet C409,2,Reg,17,20,28,18,38,59,46,30,21,28,31,23,23,21,21,25,26,29,25,27,28,28,43,73,70,84,62,44,34,45,39
Houston Westhollow C410/C3003,1,Reg,25,32,34,24,48,51,53,34,20,33,29,26,24,22,19,24,25,29,27,26,27,25,32,59,66,69,64,47,38,44,47
Park Place C416,1,Reg,19,26,37,24,38,55,47,28,25,33,35,28,29,25,20,27,31,36,31,31,29,32,45,59,72,79,86,52,38,52,35
Baytown Wetlands Center C552,1,Non,9,13,16,7,17,23,18,13,13,12,20,15,15,13,10,13,16,15,15,13,15,20,39,27,36,45,48,36,24,31,14
Crosby Library C553,1,Non,34,48,52,16,30,37,40,31,26,44,56,44,44,39,33,48,48,46,55,55,50,39,61,41,57,60,80,82,61,51,31
La Porte Sylvan Beach C556,1,Non,NA,NV,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,15,12,16,13,15,NV,NA,NA,NA,NA,NV,NA,NV,47,35,24,26,22
Tom Bass C558,1,Non,12,15,23,10,20,42,33,21,13,17,19,15,19,18,15,17,20,22,18,21,18,23,33,52,56,77,54,32,22,32,18
Katy Park C559,1,Non,9,17,24,15,39,38,34,21,13,25,20,21,19,16,14,13,16,21,19,22,19,17,26,52,55,59,57,42,24,35,39
Atascocita C560,1,Non,19,41,33,5,21,20,28,19,9,48,49,37,39,28,20,39,35,40,37,49,42,27,51,34,51,57,89,85,51,40,22
Meyer Park C561,1,Non,19,28,22,10,26,22,25,18,12,21,21,21,19,17,12,18,17,20,19,21,19,16,24,28,35,39,63,46,27,28,21
Bunker Hill Village C562,1,Non,19,24,29,14,36,37,38,20,14,28,28,23,23,21,17,22,23,27,25,27,25,23,30,47,56,63,65,43,34,40,32
Huffman Wolf Road C563,1,Non,23,32,30,11,19,18,23,21,15,30,31,30,27,25,22,31,29,26,31,36,32,23,32,23,30,31,38,43,31,26,20
