Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,39,45
Houston Aldine C8/AF108/X150,2,Reg,NV,64,62,68,57,38,43,48,42,53,49,68,71,73,58,66,58,22,34,25,18,52,53,47,47,50,46,44,46,55
Channelview C15/AH115,3,Reg,NV,60,59,52,45,34,37,45,37,46,46,65,65,57,37,58,46,NV,23,19,16,38,40,35,32,35,43,38,42,46
Northwest Harris Co. C26/A110/X154,2,Reg,60,58,62,74,46,40,45,50,45,50,51,65,NV,NV,59,56,53,24,31,27,25,66,65,57,53,54,48,44,49,54
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,56,74,59,55,56,35,50,56,46,47,47,76,64,58,42,51,40,22,27,21,24,44,44,38,37,39,41,45,52,57
Seabrook Friendship Park C45,1,Reg,NA,NA,NA,NV,59,36,55,56,43,48,47,89,61,54,40,41,30,21,25,NV,33,43,42,37,37,37,40,46,49,51
Houston Bayland Park C53/A146,1,Reg,96,66,69,57,63,40,49,65,49,55,54,68,65,60,40,44,38,21,24,19,20,48,50,46,44,45,60,49,52,66
Conroe Relocated C78/A321,1,Reg,48,54,52,59,47,40,44,42,41,50,51,65,66,82,65,50,53,30,42,38,26,46,45,42,43,40,42,39,49,53
Manvel Croix Park C84,1,Reg,72,59,61,52,59,43,63,69,65,60,60,72,61,60,40,36,36,22,29,21,23,44,47,44,41,41,48,54,69,78
Clinton C403/C304/AH113,3,Reg,78,77,78,67,59,39,48,58,47,55,52,70,55,60,38,58,52,18,24,18,19,44,46,42,39,42,49,41,50,51
Houston North Wayside C405/C1033,1,Reg,53,66,63,63,49,34,38,42,37,49,43,58,59,59,48,56,54,15,25,18,7,44,43,40,36,39,40,35,38,44
Houston Monroe C406,1,Reg,NA,NA,NA,NA,NV,NV,48,55,44,46,42,66,59,50,36,40,32,19,24,18,19,38,40,37,36,35,38,43,48,55
Lang C408,2,Reg,71,64,68,64,56,33,41,49,42,46,42,58,58,59,40,55,49,19,23,19,15,43,46,42,40,45,45,40,43,51
Houston Croquet C409,2,Reg,NA,NA,NV,51,59,39,52,67,47,52,51,63,59,55,37,37,35,21,23,17,20,42,45,41,39,40,49,48,50,59
Houston Westhollow C410/C3003,1,Reg,NA,NA,NA,NA,NV,39,50,61,51,51,50,61,59,56,36,41,42,20,24,19,17,44,47,44,37,43,63,48,55,61
Park Place C416,1,Reg,78,73,67,57,67,34,48,60,44,50,47,66,61,58,41,51,39,22,28,21,19,44,45,41,38,41,46,45,48,52
Sheldon C551,1,Non,32,35,34,32,30,27,31,33,30,34,34,40,40,38,31,35,30,20,22,20,18,26,27,26,25,26,27,26,28,31
Baytown Wetlands Center C552,1,Non,33,35,31,29,25,25,36,38,32,38,38,55,51,40,25,30,18,10,13,11,10,19,20,18,19,19,20,23,31,37
Crosby Library C553,1,Non,47,55,52,50,45,37,44,44,39,50,51,60,73,69,44,60,41,23,32,26,20,29,40,38,39,41,38,37,44,45
La Porte Sylvan Beach C556,1,Non,53,62,52,47,50,34,51,51,39,47,47,79,60,54,38,38,27,19,24,22,31,36,37,34,35,33,35,41,45,48
Tom Bass C558,1,Non,64,49,49,38,52,26,45,59,45,44,40,58,49,49,34,33,29,17,23,16,16,32,37,32,30,36,36,41,45,44
Katy Park C559,1,Non,60,44,53,45,35,34,43,51,42,42,43,53,51,47,31,31,27,16,18,15,15,34,35,35,29,39,48,38,46,47
Atascocita C560,1,Non,42,56,54,54,44,33,40,44,37,55,47,63,72,76,55,63,48,14,22,16,9,40,41,34,35,39,39,34,40,46
Meyer Park C561,1,Non,NA,NA,NA,NA,NV,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clear Brook High School C570,1,Non,64,64,59,48,71,37,52,57,48,52,50,77,59,54,37,43,NA,NV,24,19,NV,41,43,39,38,37,40,45,56,67
Clear Creek High School C571,1,Non,53,61,51,45,57,35,49,50,42,47,48,82,58,49,34,42,30,14,18,17,20,35,40,34,32,31,34,43,49,53
HRM-3 Haden Road C603/A114,1,Non,64,70,69,61,52,33,42,51,40,47,43,65,60,59,45,59,55,22,25,21,17,43,44,40,38,43,46,43,47,50
Wallisville Road C617,1,Non,50,58,56,48,43,36,42,50,40,48,48,65,70,60,39,62,34,19,27,21,19,39,41,37,37,37,41,43,46,50
Danciger C618,1,Non,41,43,44,38,29,49,47,50,52,57,52,56,50,41,24,25,28,15,18,17,19,37,40,36,27,27,30,36,50,65
Texas City 34th St. C620,1,Non,68,69,59,52,58,44,59,60,52,52,54,87,65,NV,44,46,34,27,30,34,42,49,51,45,44,44,46,54,61,60
UH Moody Tower C695,1,Non,80,74,71,59,58,37,46,NV,NV,51,49,67,65,58,42,50,37,23,28,21,20,45,46,41,40,43,52,43,48,53
U of H-Sugarland C696,1,Non,65,59,54,52,52,44,61,82,58,58,53,63,63,57,35,NA,38,21,24,21,23,44,45,42,36,40,54,NV,62,72
UH Coastal Center C697,1,Non,68,59,55,40,60,35,51,52,46,46,52,83,59,52,35,34,30,20,24,27,32,44,45,40,39,37,42,50,55,51
UH WG Jones Forest C698,1,Non,52,54,52,62,51,41,44,44,43,49,53,65,65,85,66,56,57,27,40,33,22,54,49,43,44,42,45,39,49,54
UH West Liberty C699,1,Non,NV,46,47,42,NV,NV,37,39,35,43,46,53,71,57,39,44,30,21,31,26,24,36,38,36,36,38,40,31,40,42
Lake Jackson C1016,1,Reg,NA,NA,NA,NA,NA,NA,NA,NV,53,56,59,58,58,49,32,30,30,19,23,21,25,41,44,39,34,32,33,40,61,64
Baytown Garth C1017,1,Reg,NV,60,56,50,40,37,42,50,40,48,48,66,73,63,43,64,37,24,31,25,23,43,44,39,40,40,43,45,46,49
Galveston 99th St. C1034/A320/X183,1,Reg,NA,NV,49,42,NV,34,46,54,50,44,47,83,57,51,36,31,NV,NA,NA,NA,NA,NA,NA,NA,NA,NV,36,45,58,62
Oyster Creek C1607,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,36,32,27,20,24,26,33,42,44,40,35,34,34,44,62,66
