Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,53,66,101,29,27,31,33,34,46,80,NV,NV,88,53,55,66,62,27,19,19,47,21,34,68,33,54,59,88,85,70,33
Houston Aldine C8/AF108/X150,2,Reg,52,NV,89,34,38,42,47,45,58,74,63,102,95,64,62,63,86,35,23,21,46,26,42,44,37,52,64,89,105,80,45
Channelview C15/AH115,3,Reg,49,59,86,28,22,31,31,32,51,67,52,65,81,52,49,57,59,26,18,17,46,19,36,46,29,50,56,73,79,70,31
Northwest Harris Co. C26/A110/X154,2,Reg,49,55,82,31,31,30,34,30,37,56,46,56,66,57,56,56,65,30,29,26,41,24,27,37,35,50,64,71,91,57,44
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,54,71,76,22,20,23,24,25,31,73,68,88,77,57,54,58,51,24,21,20,34,19,24,63,33,62,67,95,63,59,31
Seabrook Friendship Park C45,1,Reg,62,68,87,23,20,23,23,21,27,71,73,85,NV,69,54,63,52,26,24,31,40,20,22,67,39,64,63,81,65,60,33
Houston Bayland Park C53/A146,1,Reg,64,69,62,25,26,24,24,25,34,67,71,98,80,61,56,66,54,22,24,21,35,17,23,64,34,70,72,97,65,59,34
Conroe Relocated C78/A321,1,Reg,49,55,67,42,42,39,53,41,43,46,46,65,70,57,56,56,68,42,33,26,35,32,32,40,39,49,56,74,73,58,46
Manvel Croix Park C84,1,Reg,71,87,55,24,24,25,25,26,27,47,71,89,62,68,59,55,50,22,24,23,35,19,20,62,NA,NV,86,91,66,56,30
Clinton C403/C304/AH113,3,Reg,57,65,91,22,21,22,24,28,37,82,60,92,83,NV,55,65,49,22,18,15,44,20,28,65,30,57,61,93,70,64,30
Houston North Wayside C405/C1033,1,Reg,44,52,90,23,24,26,28,30,42,63,46,78,78,46,49,47,59,24,14,10,32,17,34,44,25,40,47,65,79,61,NV
Houston Monroe C406,1,Reg,55,73,61,19,20,21,21,23,23,59,64,89,62,55,51,54,44,21,20,21,35,17,21,67,29,59,73,83,56,51,25
Lang C408,2,Reg,55,66,95,30,33,30,34,34,43,74,60,91,94,64,62,64,67,30,21,17,49,24,32,61,33,56,67,87,83,69,35
Houston Croquet C409,2,Reg,62,76,57,25,26,25,24,27,29,57,74,92,66,69,NV,66,54,25,25,24,37,19,28,64,36,76,75,89,62,55,33
Houston Westhollow C410/C3003,1,Reg,64,72,61,29,28,26,30,27,37,64,65,84,79,73,65,68,60,28,29,23,43,23,30,52,38,73,75,81,70,59,35
Houston Texas Avenue C411,1,Reg,51,59,76,22,24,25,26,28,37,79,58,94,86,56,55,61,57,25,20,17,45,19,31,67,31,54,60,91,71,NV,33
Park Place C416,1,Reg,58,74,71,24,25,25,26,27,32,85,70,100,87,59,56,66,57,25,23,22,44,21,27,77,33,64,67,99,66,59,32
Sheldon C551,1,Non,45,56,79,29,26,33,34,34,48,61,47,62,69,50,48,51,62,24,15,14,38,19,34,32,27,41,48,62,77,60,30
Baytown Wetlands Center C552,1,Non,43,51,60,21,19,20,22,21,33,54,47,57,51,49,44,48,45,20,15,23,29,15,24,41,29,46,50,61,55,50,29
Crosby Library C553,1,Non,44,53,63,31,26,31,36,35,42,49,43,57,50,46,44,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Houston C554,1,Non,55,64,64,25,26,25,29,26,34,55,57,72,79,64,62,65,60,27,24,18,42,20,29,46,31,57,71,76,75,59,35
La Porte Sylvan Beach C556,1,Non,61,71,85,26,23,26,26,25,31,86,82,89,68,73,59,64,58,28,24,32,40,20,23,67,39,65,68,81,70,64,37
Mercer Arboretum C557,1,Non,42,47,67,30,33,31,41,35,44,43,41,50,61,45,45,42,68,29,14,12,24,19,24,28,22,34,43,NV,72,54,34
Tom Bass C558,1,Non,52,69,47,19,18,18,19,20,20,44,60,81,55,56,50,49,43,19,20,21,31,15,17,57,26,61,67,76,50,46,25
Katy Park C559,1,Non,48,56,48,19,21,21,20,20,26,43,49,57,62,57,56,58,49,20,23,17,31,17,23,NV,30,48,59,63,60,47,32
Atascocita C560,1,Non,37,45,63,29,28,32,37,34,41,46,40,54,65,44,45,44,64,26,18,16,30,23,29,25,27,36,43,59,68,59,35
Meyer Park C561,1,Non,39,46,75,26,27,24,33,26,34,49,38,51,63,48,48,46,63,25,20,14,31,17,24,34,26,39,51,64,80,57,36
Bunker Hill Village C562,1,Non,52,60,61,25,26,24,26,26,34,63,57,80,75,60,56,58,53,24,21,17,36,17,24,51,30,57,63,85,64,55,31
Huffman Wolf Road C563,1,Non,37,46,55,30,28,34,39,34,39,41,37,51,54,47,45,46,69,29,20,17,27,24,31,22,NV,NA,NA,NA,64,56,34
Clear Brook High School C570,1,Non,NA,NA,NV,22,23,25,24,25,26,53,86,90,54,68,NV,60,49,24,NV,NA,41,NV,22,69,NV,NV,73,90,64,58,29
Clear Creek High School C571,1,Non,63,68,NV,22,22,24,25,26,29,61,73,95,51,66,NV,64,50,25,NV,NV,39,21,24,57,47,65,67,91,68,65,30
Clear Lake High School C572,1,Non,59,68,69,23,21,23,24,24,28,73,77,99,61,68,57,62,50,23,24,25,39,19,24,62,44,62,64,87,64,60,28
HRM-3 Haden Road C603/A114,1,Non,54,65,99,28,NV,NV,34,36,50,82,65,96,95,61,58,71,68,28,20,21,52,20,35,70,34,64,70,94,93,75,36
Wallisville Road C617,1,Non,47,59,75,27,23,24,31,34,57,65,53,65,66,56,NV,NA,NA,27,21,26,45,21,39,44,34,54,58,67,70,73,33
Danciger C618,1,Non,60,66,41,18,18,20,20,21,23,29,46,NA,NV,62,71,52,55,22,18,36,35,20,19,27,35,NV,NV,49,44,37,22
Mustang Bayou C619,1,Non,59,69,48,20,20,22,22,22,22,29,56,84,46,61,58,51,48,22,21,26,41,NA,NV,49,NA,NV,62,70,58,53,25
Texas City 34th St. C620,1,Non,63,73,77,24,21,23,25,25,27,48,87,93,50,72,63,59,53,23,23,33,38,22,20,57,52,58,68,87,67,64,32
UH Moody Tower C695,1,Non,60,69,76,27,28,27,27,30,35,87,69,106,93,62,57,68,60,27,25,NV,49,22,29,79,37,64,66,102,71,62,NV
U of H-Sugarland C696,1,Non,63,71,48,22,20,21,21,21,27,40,66,73,62,74,59,60,51,22,24,27,36,18,20,40,36,79,75,70,54,48,31
UH Coastal Center C697,1,Non,51,59,53,17,16,19,20,20,20,34,68,79,40,57,54,48,43,19,20,27,33,18,17,51,41,52,56,72,53,53,25
UH WG Jones Forest C698,1,Non,48,55,67,38,39,35,46,37,44,48,45,63,72,56,55,54,66,38,28,23,34,28,31,44,39,47,57,71,78,59,47
UH West Liberty C699,1,Non,49,NV,NV,43,37,41,49,43,49,48,47,65,60,56,53,54,64,35,26,29,34,30,40,NV,38,46,53,63,71,NV,41
Lynchburg Ferry C1015/A165,1,Reg,44,64,81,24,19,26,25,26,49,65,58,67,79,51,47,58,54,25,21,19,47,20,30,47,31,50,57,74,70,64,32
Lake Jackson C1016,1,Reg,58,67,39,19,19,19,19,19,18,25,43,46,44,51,61,46,46,NV,17,32,36,16,16,26,32,51,62,60,50,48,24
Baytown Garth C1017,1,Reg,53,66,84,32,27,30,34,35,58,68,56,70,71,61,55,62,64,29,22,27,44,21,40,46,36,57,62,74,75,77,37
Galveston 99th St. C1034/A320/X183,1,Reg,62,78,71,21,19,21,24,22,24,36,75,101,51,70,65,58,53,28,26,40,38,23,18,48,56,60,69,84,63,62,41
