Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,40,54,73,69,69,50,27,31,38,32,34,65,67,35,28,33,22,45,23,35,24,20,24,35,66,27,34,22,22,24,39
Houston Aldine C8/AF108/X150,2,Reg,43,49,68,63,60,47,27,34,40,37,50,56,57,41,35,32,26,42,33,41,24,20,27,36,63,32,31,22,23,27,46
Channelview C15/AH115,3,Reg,40,46,57,60,58,40,23,26,25,27,35,54,60,32,28,30,19,35,34,33,23,18,20,32,58,24,34,19,17,19,30
Northwest Harris Co. C26/A110/X154,2,Reg,48,53,80,65,67,54,30,30,36,NV,39,58,56,NV,NV,NV,25,47,36,40,20,17,21,26,46,24,36,21,19,23,30
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,45,62,71,71,64,39,26,31,31,27,31,64,69,33,29,30,24,38,37,35,25,19,20,28,47,22,30,20,17,22,28
Seabrook Friendship Park C45,1,Reg,49,56,66,67,59,36,26,31,27,24,27,57,73,35,33,30,29,42,37,37,23,16,19,26,37,21,26,18,14,18,22
Houston Bayland Park C53/A146,1,Reg,58,67,82,81,82,51,25,23,26,20,37,57,59,33,25,32,20,41,32,33,NV,13,18,27,44,22,31,16,14,18,35
Conroe Relocated C78/A321,1,Reg,49,56,66,62,64,55,38,45,59,55,50,51,56,48,35,35,29,40,39,40,29,31,29,32,50,36,39,38,42,46,41
Manvel Croix Park C84,1,Reg,70,84,81,86,78,47,30,25,29,29,32,47,64,36,27,35,27,41,37,32,24,17,20,24,34,22,29,18,18,19,24
Clinton C403/C304/AH113,3,Reg,45,54,71,69,67,45,25,26,30,23,32,56,66,32,29,32,22,42,28,36,23,16,NV,23,51,19,30,19,17,18,30
Houston North Wayside C405/C1033,1,Reg,46,52,70,67,64,49,26,30,38,32,47,59,62,37,30,32,21,41,28,39,22,17,23,35,63,25,31,19,21,24,43
Houston Monroe C406,1,Reg,51,66,74,82,69,43,26,23,25,26,33,50,64,31,30,32,24,39,29,32,23,19,21,27,39,23,32,19,19,20,26
Lang C408,2,Reg,53,60,88,80,73,59,NV,23,31,34,42,58,57,37,29,37,20,50,33,39,22,20,NV,NV,60,27,33,24,20,25,42
Houston Croquet C409,2,Reg,61,70,78,81,79,47,28,25,27,29,36,52,62,33,27,35,24,41,34,35,24,16,21,27,40,23,33,20,16,20,32
Houston Westhollow C410/C3003,1,Reg,54,57,77,73,82,55,26,26,28,28,36,53,54,34,20,31,24,47,37,35,21,18,20,27,38,23,32,20,18,21,33
Houston Texas Avenue C411,1,Reg,49,57,73,72,70,50,25,23,27,26,39,55,61,33,29,37,22,49,29,35,23,16,21,30,52,23,33,20,19,20,37
Park Place C416,1,Reg,53,67,82,73,79,47,26,23,29,29,37,58,65,33,33,34,23,42,29,35,23,19,22,28,48,24,34,NV,20,22,31
Sheldon C551,1,Non,45,50,66,64,64,47,29,34,33,34,45,60,63,41,32,34,23,39,35,37,NV,NV,26,37,59,28,32,22,21,25,36
Baytown Wetlands Center C552,1,Non,43,52,64,65,60,39,25,27,25,29,31,60,67,31,33,31,23,38,36,34,24,14,20,29,62,22,31,17,14,18,25
Crosby Library C553,1,Non,44,53,68,64,64,52,29,35,34,43,53,60,60,42,34,35,30,42,38,40,31,24,35,50,67,36,38,31,27,36,50
West Houston C554,1,Non,51,54,82,78,79,64,31,26,34,33,40,57,55,41,32,40,26,63,43,42,22,20,23,28,50,26,38,23,21,24,38
La Porte Sylvan Beach C556,1,Non,47,55,68,65,58,39,27,30,29,29,24,51,68,28,33,28,25,36,24,34,23,18,21,27,47,24,31,20,17,19,26
Mercer Arboretum C557,1,Non,45,50,66,61,62,50,31,34,44,43,51,54,55,44,35,31,27,40,38,42,26,26,31,38,63,35,36,30,29,36,50
Tom Bass C558,1,Non,56,70,72,77,69,40,23,19,21,22,28,43,59,31,23,30,21,33,30,29,21,15,18,22,34,20,28,15,17,17,22
Atascocita C560,1,Non,43,47,63,61,61,49,31,37,41,44,50,58,59,46,35,32,29,40,37,42,27,24,29,37,62,36,33,27,30,34,NV
Meyer Park C561,1,Non,52,58,80,70,68,56,33,36,42,43,49,63,54,48,38,36,29,49,42,45,25,25,25,34,61,31,40,30,30,35,43
Bunker Hill Village C562,1,Non,NA,NA,NA,NA,NA,NA,NA,NV,NV,NA,NA,NV,59,36,27,43,22,56,37,35,22,21,24,30,51,27,34,24,21,25,39
Huffman Wolf Road C563,1,Non,41,46,54,54,58,50,28,34,33,46,49,51,56,44,35,32,29,39,38,39,31,NV,NA,46,52,37,35,31,32,38,48
HRM-3 Haden Road C603/A114,1,Non,46,54,70,71,70,48,27,30,22,32,42,69,70,36,30,34,22,46,34,33,24,19,23,33,67,26,33,21,17,23,35
Wallisville Road C617,1,Non,NA,NV,68,68,69,49,28,32,27,34,49,63,62,37,36,36,28,43,37,35,29,20,27,40,67,29,41,24,20,28,47
Danciger C618,1,Non,71,75,70,69,61,46,28,19,21,20,26,31,42,28,22,21,24,37,36,29,19,26,32,36,41,33,36,21,20,23,27
Mustang Bayou C619,1,Non,61,58,62,67,55,35,25,21,22,21,23,31,40,27,26,30,25,35,33,28,22,16,18,NV,NA,18,20,16,13,15,17
Texas City 34th St. C620,1,Non,47,58,67,69,57,37,26,22,28,21,24,43,63,30,29,32,28,36,35,32,22,14,17,20,NV,NV,21,17,NV,NV,20
UH Moody Tower C695,1,Non,NV,64,80,78,76,50,27,27,30,30,41,59,66,35,32,39,26,46,33,38,26,19,23,34,53,NV,35,19,21,22,37
U of H-Sugarland C696,1,Non,59,63,70,80,79,48,27,25,26,22,31,41,52,32,27,31,25,40,42,33,20,17,19,25,37,20,30,19,17,18,22
UH Coastal Center C697,1,Non,51,61,64,66,57,36,25,21,22,19,22,36,44,30,26,30,25,35,34,29,20,14,16,20,23,19,21,15,12,14,18
UH WG Jones Forest C698,1,Non,53,NV,67,65,65,NV,39,41,55,NV,49,55,55,49,39,34,29,43,39,40,25,28,NV,NV,58,35,NV,35,36,42,37
UH West Liberty C699,1,Non,39,44,52,51,55,47,23,30,25,40,43,42,52,38,30,30,26,NV,35,32,28,NV,NV,43,48,33,32,26,26,35,44
Lynchburg Ferry C1015/A165,1,Reg,38,52,60,64,57,38,25,25,24,27,34,59,66,33,30,29,21,35,33,31,22,16,19,29,57,21,29,18,16,17,27
Lake Jackson C1016,1,Reg,71,67,65,65,52,36,25,18,23,19,21,27,34,25,21,30,26,37,29,27,18,14,15,17,18,15,16,15,12,15,16
Baytown Garth C1017,1,Reg,41,48,60,60,60,43,26,28,24,34,43,57,57,34,33,33,24,38,34,33,25,18,24,37,62,26,38,21,18,26,41
Galveston 99th St. C1034/A320/X183,1,Reg,42,57,63,67,52,35,28,22,20,21,20,26,34,35,35,30,31,39,38,30,21,15,16,17,18,16,15,16,15,15,14
