Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,67,36,31,27,NV,NA,NV,29,59,40,39,34,39,45,33,65,50,53,60,35,37,40,45,42,28,16,38,69,64,65,69
Houston Aldine C8/AF108/X150,2,Reg,56,45,34,29,32,29,32,35,67,42,41,36,40,39,28,65,47,44,56,35,34,35,40,34,29,18,42,68,60,65,75
Channelview C15/AH115,3,Reg,53,29,NV,NV,26,22,23,20,36,NV,25,24,28,35,20,45,40,37,42,29,25,24,31,31,21,11,28,59,58,60,61
Northwest Harris Co. C26/A110/X154,2,Reg,46,39,29,24,24,21,24,31,69,52,NV,34,29,26,38,50,51,50,59,48,41,46,51,NV,33,20,43,83,48,55,67
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,68,30,23,23,24,20,22,24,45,34,34,30,NV,42,40,68,55,53,52,34,38,31,49,46,25,20,33,52,65,61,53
Seabrook Friendship Park C45,1,Reg,38,28,21,21,22,20,20,21,35,36,32,29,26,42,34,57,56,50,47,34,36,30,47,50,27,25,36,52,78,61,53
Houston Bayland Park C53/A146,1,Reg,55,27,21,22,23,19,20,NV,42,42,32,28,30,33,38,80,59,60,74,39,NV,NV,60,47,27,19,NV,62,63,58,56
Conroe Relocated C78/A321,1,Reg,53,64,45,38,40,34,39,53,73,44,42,46,36,35,37,52,57,50,57,51,38,39,44,40,34,28,34,63,55,68,76
Manvel Croix Park C84,1,Reg,38,22,20,22,23,21,20,23,37,45,31,29,28,34,58,94,68,64,53,35,36,34,49,53,27,22,29,56,62,54,48
Clinton C403/C304/AH113,3,Reg,57,26,22,23,20,17,19,20,48,34,33,24,25,36,35,67,50,52,58,30,37,37,47,NV,26,17,38,64,59,52,55
Houston North Wayside C405/C1033,1,Reg,61,38,30,26,26,22,26,30,62,39,35,29,37,41,27,64,52,50,57,31,33,37,42,39,30,13,42,77,61,61,70
Houston Monroe C406,1,Reg,50,25,22,24,23,21,22,23,47,36,33,29,27,34,41,79,57,57,54,33,42,34,52,49,27,21,32,50,65,54,51
Lang C408,2,Reg,51,37,28,25,28,24,26,31,59,42,38,37,34,34,37,68,54,54,61,35,39,48,47,39,30,13,46,81,59,61,66
Houston Croquet C409,2,Reg,47,26,24,24,24,21,22,25,41,46,34,29,32,35,42,85,61,60,63,38,51,40,65,50,28,21,34,57,63,56,52
Houston Westhollow C410/C3003,1,Reg,52,30,25,25,23,20,20,27,44,46,34,30,30,32,44,61,58,59,78,38,50,45,59,44,32,19,32,65,58,54,55
Houston Texas Avenue C411,1,Reg,58,30,25,26,23,21,23,24,50,38,35,28,32,39,32,79,49,52,62,31,39,42,48,42,28,18,39,71,59,54,57
Park Place C416,1,Reg,67,28,23,25,25,22,22,26,49,39,38,31,32,38,39,80,56,59,63,36,47,40,61,48,26,22,38,65,68,58,57
Sheldon C551,1,Non,51,35,29,28,28,25,29,26,43,32,27,24,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,45,53,60,65
Baytown Wetlands Center C552,1,Non,65,31,23,22,23,20,20,23,37,31,28,28,28,46,NA,NA,NA,NA,NA,NA,NA,NA,NV,43,29,22,30,41,59,58,50
Crosby Library C553,1,Non,64,54,39,35,37,35,40,41,54,41,35,44,47,57,27,47,52,46,58,40,37,36,43,38,32,NV,NV,62,58,71,67
West Houston C554,1,Non,58,37,29,28,26,24,24,31,57,54,43,35,36,34,44,51,53,55,64,41,45,54,52,42,33,18,38,80,55,55,60
La Porte Sylvan Beach C556,1,Non,47,29,24,24,24,23,23,25,35,38,33,30,25,42,32,54,53,47,45,34,37,29,44,46,26,23,34,49,71,62,50
Mercer Arboretum C557,1,Non,57,57,42,34,37,31,36,45,74,42,45,44,43,35,29,58,51,47,57,41,38,40,45,37,38,24,41,71,57,69,84
