Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,49,32,37,55,26,16,14,35,50,27,30,31,21,24,21,23,21,34,48,42,39,61,39,NV,NA,NA,NA,NA,NA,NA,NA
Houston Aldine C8/AF108/X150,2,Reg,53,40,42,51,33,18,26,41,46,41,38,40,29,33,28,27,32,45,47,46,51,63,46,NV,NA,NA,NA,NA,NA,NA,NA
Channelview C15/AH115,3,Reg,43,34,37,50,26,16,18,42,51,27,35,33,22,24,21,23,22,36,46,41,36,49,NV,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Harris Co. C26/A110/X154,2,Reg,59,38,44,50,34,21,32,34,34,29,27,28,24,26,24,26,25,37,31,39,63,64,47,46,21,28,28,34,35,42,52
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,47,34,34,NV,NA,NA,NA,NA,NA,NV,23,24,19,22,19,22,20,28,36,31,38,51,43,NV,NA,NA,NA,NA,NA,NV,51
Seabrook Friendship Park C45,1,Reg,46,40,51,78,29,16,30,42,46,22,25,23,20,21,20,20,20,26,28,29,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Bayland Park C53/A146,1,Reg,62,38,60,64,28,17,27,36,41,24,25,28,20,21,20,20,20,30,35,31,44,53,NV,NA,NA,NA,NA,NA,NA,NA,NA
Conroe Relocated C78/A321,1,Reg,53,38,40,46,44,23,25,31,27,31,29,35,30,39,31,36,37,38,33,35,39,41,40,37,23,28,30,34,33,37,53
Manvel Croix Park C84,1,Reg,52,37,60,63,25,16,NV,NV,36,19,17,19,17,20,18,NV,16,23,23,26,38,41,48,NV,NA,NA,NA,NA,NA,NA,NA
Clinton C403/C304/AH113,3,Reg,52,34,44,57,26,17,15,38,45,23,25,26,20,20,17,21,NV,27,44,38,41,65,44,NV,NA,NA,NA,NA,NA,NA,NV
Houston North Wayside C405/C1033,1,Reg,42,30,36,46,22,11,15,32,41,25,27,29,19,21,19,18,19,31,41,37,36,61,37,NV,NA,NA,NA,NA,NA,NA,NV
Houston Monroe C406,1,Reg,41,30,43,56,21,15,19,36,40,19,NV,19,16,19,17,21,16,22,26,26,38,44,40,NV,NA,NA,NA,NA,NA,NA,NA
Lang C408,2,Reg,48,32,44,50,25,16,25,33,35,29,25,28,22,22,20,20,21,32,34,35,41,61,42,NV,NA,NA,NA,NA,NA,NA,NA
Houston Croquet C409,2,Reg,54,37,60,62,26,16,26,36,40,20,23,25,19,21,19,20,18,25,29,29,38,45,50,NV,NA,NA,NA,NA,NA,NA,NA
Houston Westhollow C410/C3003,1,Reg,61,39,56,60,26,15,31,29,36,23,22,22,16,18,15,19,15,26,27,32,39,50,48,NV,NA,NA,NA,NA,NA,NA,NA
Park Place C416,1,Reg,49,35,48,63,26,16,21,40,46,23,24,24,19,21,18,21,17,26,37,32,41,58,46,NV,NA,NA,NA,NA,NA,NA,NV
Sheldon C551,1,Non,30,25,26,30,23,19,19,26,21,22,24,24,21,23,22,22,22,27,29,28,27,32,28,29,20,22,NV,NA,NV,27,35
Baytown Wetlands Center C552,1,Non,32,19,21,34,12,6,4,14,26,7,9,8,7,8,8,8,9,13,16,13,17,19,19,25,10,14,15,19,17,19,38
Crosby Library C553,1,Non,49,30,36,43,26,19,21,38,50,39,39,43,30,32,31,30,31,42,45,39,40,45,37,40,21,24,26,29,28,39,57
La Porte Sylvan Beach C556,1,Non,17,16,15,18,13,13,15,23,27,19,20,19,17,17,17,17,18,20,20,24,24,20,37,38,22,NV,25,27,24,35,53
Mercer Arboretum C557,1,Non,37,32,25,30,29,22,0,0,28,30,30,32,26,31,30,29,31,35,34,35,36,38,34,34,26,0,NV,NA,NA,NA,NA
Tom Bass C558,1,Non,46,34,37,56,23,15,20,28,38,20,19,19,16,18,16,20,15,NV,23,24,34,37,40,46,15,21,20,11,19,29,37
Katy Park C559,1,Non,NV,NA,NA,NA,NA,NA,NA,NA,NA,NV,18,18,16,17,16,18,15,22,20,25,37,42,42,47,15,17,18,22,23,33,37
Atascocita C560,1,Non,23,15,12,19,12,4,6,14,15,12,11,18,10,12,11,6,12,20,41,40,36,NV,30,34,11,16,17,22,18,32,49
Meyer Park C561,1,Non,41,26,28,34,24,14,18,23,24,25,21,23,17,21,18,21,20,26,29,31,41,51,35,34,NV,NA,NA,NA,NA,NA,NA
Clear Brook High School C570,1,Non,43,35,52,58,24,15,24,35,40,19,19,20,17,19,17,20,17,20,23,26,39,42,42,41,21,25,25,25,26,37,51
Clear Creek High School C571,1,Non,41,32,50,62,19,12,21,37,40,14,18,18,17,16,15,15,16,18,23,24,33,NV,38,33,17,17,17,17,22,37,51
HRM-3 Haden Road C603/A114,1,Non,NV,38,44,56,25,17,18,39,52,29,30,34,21,25,22,21,23,39,50,NA,NA,NA,NA,NV,20,27,27,31,28,36,52
Wallisville Road C617,1,Non,NV,NV,NA,NV,29,16,23,42,59,32,34,36,20,23,22,20,23,37,50,39,36,46,36,42,22,28,27,30,27,36,57
Danciger C618,1,Non,51,34,38,39,19,13,27,30,34,15,16,16,14,15,15,NV,13,17,20,20,34,30,42,33,25,26,25,28,31,42,48
Texas City 34th St. C620,1,Non,48,44,54,76,30,20,34,38,48,24,25,26,22,20,21,23,19,25,28,41,43,41,49,50,29,32,32,34,30,43,53
UH Moody Tower C695,1,Non,54,38,51,NV,25,16,22,40,46,24,25,25,20,22,NV,21,18,28,40,35,43,61,49,NV,19,26,NV,NV,25,35,47
U of H-Sugarland C696,1,Non,66,44,67,65,26,18,34,34,36,23,22,22,19,20,18,23,18,25,32,27,40,45,56,56,23,NV,31,32,32,46,47
UH Coastal Center C697,1,Non,44,38,50,56,23,15,27,33,41,17,21,19,17,17,18,18,15,19,20,28,35,36,45,42,24,28,28,28,27,38,48
UH WG Jones Forest C698,1,Non,53,39,42,47,43,22,28,33,29,33,30,35,29,34,29,33,32,37,36,41,47,48,41,40,21,28,29,NV,33,NV,NA
UH West Liberty C699,1,Non,49,34,32,40,31,17,20,29,39,34,39,37,25,30,28,24,30,40,36,31,34,34,28,33,NV,23,23,27,NV,NV,NV
Lake Jackson C1016,1,Reg,43,36,31,35,20,14,24,30,35,15,14,17,15,17,16,19,15,16,15,21,33,31,42,NV,NA,NA,NA,NA,NA,NA,NA
Baytown Garth C1017,1,Reg,NV,40,37,48,28,16,22,40,NA,NV,37,39,25,27,NV,22,24,44,51,41,38,46,38,NV,NA,NA,NA,NA,NA,NA,NA
Galveston 99th St. C1034/A320/X183,1,Reg,47,41,53,50,29,17,30,29,35,20,18,17,17,17,17,19,15,19,20,41,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oyster Creek C1607,1,Non,43,38,38,38,23,16,23,30,40,17,15,17,16,17,NV,19,15,18,17,25,35,30,43,NV,NA,NA,NA,NA,NA,NA,NA
