Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,39,37,52,46,35,26,23,37,40,37,47,43,52,52,24,23,34,37,19,14,21,31,45,30,82,70,53,40,25,23
Houston Aldine C8/AF108/X150,2,Reg,41,34,53,53,31,34,23,37,42,37,51,42,50,49,26,24,36,41,22,15,25,34,36,33,74,71,49,36,20,35
Channelview C15/AH115,3,Reg,36,31,42,NV,NA,NV,18,28,33,31,40,38,47,48,21,22,30,34,16,14,25,34,45,37,78,64,52,42,28,21
Northwest Harris Co. C26/A110/X154,2,Reg,36,29,37,62,40,38,30,43,NV,46,51,49,55,52,31,26,NV,47,23,12,29,38,38,42,66,69,49,36,19,31
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,33,28,40,NA,NA,NV,22,33,39,37,40,44,55,54,21,26,34,35,20,15,23,36,51,35,86,67,55,42,26,26
Seabrook Friendship Park C45,1,Reg,34,24,35,35,33,29,23,34,40,40,41,42,55,51,22,28,36,36,22,18,20,34,49,34,104,67,61,50,31,24
Houston Bayland Park C53/A146,1,Reg,34,29,38,46,NV,NV,NV,32,39,38,45,57,66,61,23,NV,NV,36,NV,NV,24,39,51,46,78,60,47,NV,NV,NV
Conroe Relocated C78/A321,1,Reg,47,39,47,52,49,43,26,37,46,40,46,47,54,51,35,28,41,44,26,19,36,41,36,46,69,85,54,45,21,39
Manvel Croix Park C84,1,Reg,31,27,34,38,35,34,29,32,40,40,43,49,58,57,26,27,37,38,22,18,27,43,57,48,81,59,50,36,24,26
Clinton C403/C304/AH113,3,Reg,33,32,39,33,34,29,24,30,35,34,40,44,51,48,22,24,30,33,19,12,24,32,50,37,75,56,47,37,22,24
Houston North Wayside C405/C1033,1,Reg,39,35,51,52,33,29,25,36,38,35,44,37,49,41,26,21,33,36,18,15,26,34,39,36,73,67,47,35,20,21
