Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,20,34,49,59,39,37,52,64,23,38,20,23,35,47,34,22,30,34,29,23,23,24,22,28,23,31,42,62,55,64
Houston Aldine C8/AF108/X150,2,Reg,20,34,50,81,45,42,49,60,23,40,24,25,46,64,35,27,34,32,36,23,30,29,26,28,25,36,52,52,50,57
Channelview C15/AH115,3,Reg,17,34,43,55,31,36,49,57,22,32,18,16,41,52,32,19,25,32,25,17,20,21,20,23,19,25,38,50,49,58
Northwest Harris Co. C26/A110/X154,2,Reg,NV,NA,NA,NV,57,28,44,57,24,44,25,23,27,60,30,20,28,29,32,26,31,28,25,31,22,36,39,44,48,57
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,18,37,54,44,28,32,56,52,23,28,18,19,25,35,26,19,22,25,24,19,19,19,17,23,18,25,29,52,56,62
Seabrook Friendship Park C45,1,Reg,17,42,43,39,27,33,56,56,26,28,20,19,24,30,22,17,21,23,21,19,19,20,18,23,17,23,28,37,56,65
Houston Bayland Park C53/A146,1,Reg,16,36,76,51,40,34,55,56,21,29,19,20,28,33,25,20,24,28,24,21,22,22,20,25,18,24,36,47,54,61
Conroe Relocated C78/A321,1,Reg,33,39,48,59,38,38,51,69,26,64,28,43,43,49,50,28,37,31,42,44,51,47,42,46,41,55,51,51,54,61
Manvel Croix Park C84,1,Reg,19,44,86,47,36,32,69,56,29,27,20,21,21,31,27,19,25,27,24,24,22,22,19,30,23,27,30,41,64,67
Clinton C403/C304/AH113,3,Reg,18,35,53,46,39,29,55,53,23,28,16,18,26,37,28,19,22,23,20,16,17,20,19,21,17,NV,30,52,51,62
Houston North Wayside C405/C1033,1,Reg,18,34,NV,70,43,36,51,58,20,35,20,22,41,52,31,22,30,30,30,21,26,27,24,26,23,31,46,54,53,61
Houston Monroe C406,1,Reg,18,39,63,44,32,30,65,55,24,28,20,20,23,28,26,18,23,25,25,21,20,19,19,25,20,25,28,45,58,65
Lang C408,2,Reg,21,36,65,70,58,43,53,64,28,45,23,25,45,56,36,25,33,31,31,26,29,28,25,30,23,36,49,50,57,66
Houston Croquet C409,2,Reg,18,38,79,48,37,32,59,54,26,30,22,21,24,31,25,20,24,26,24,24,22,23,22,27,20,25,32,42,57,61
Houston Westhollow C410/C3003,1,Reg,19,35,76,55,41,34,50,53,25,34,20,20,30,35,26,20,25,29,24,21,24,21,20,25,21,28,37,44,50,57
Houston Texas Avenue C411,1,Reg,18,36,62,53,44,32,53,53,26,31,19,20,28,39,28,21,27,29,27,21,22,20,21,25,21,26,36,51,55,59
Park Place C416,1,Reg,19,38,64,49,NV,32,61,56,30,34,22,23,27,37,29,20,27,28,26,23,24,21,22,28,23,27,34,56,63,65
Sheldon C551,1,Non,18,33,44,65,31,37,49,61,21,34,18,19,40,61,33,22,28,36,29,19,25,24,23,26,22,30,41,56,52,61
Baytown Wetlands Center C552,1,Non,NA,NA,NA,NA,NV,29,46,53,25,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,22,32,55,55,59
Crosby Library C553,1,Non,21,34,43,57,33,55,46,69,26,45,26,28,47,73,43,29,35,39,35,28,31,32,27,28,23,39,59,60,53,60
West Houston C554,1,Non,19,35,70,70,60,34,49,56,23,37,23,21,31,42,29,19,27,30,26,23,27,23,21,29,22,31,39,44,52,58
La Porte Sylvan Beach C556,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,21,20,24,19,24,30,44,57,64
