Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,38,38,43,39,21,27,27,24,23,17,36,43,28,29,38,25,43,37,66,35,47,42,18,20,16,24,27,56,34,39
Houston Aldine C8/AF108/X150,2,Reg,52,42,45,43,23,40,35,30,26,19,39,46,36,34,39,29,41,39,64,39,49,52,22,19,25,25,35,60,44,44
Channelview C15/AH115,3,Reg,43,37,42,35,22,26,26,27,30,19,35,42,33,30,40,26,45,38,60,37,48,37,14,18,20,25,34,61,41,41
Northwest Harris Co. C26/A110/X154,2,Reg,46,40,42,45,21,35,23,25,26,26,34,46,35,31,35,28,38,26,48,35,50,54,19,20,22,23,33,49,40,41
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,45,48,52,35,19,27,24,23,30,25,44,39,35,NV,NV,27,52,NA,NV,40,NV,NV,18,19,22,29,38,72,46,45
Seabrook Friendship Park C45,1,Reg,52,44,52,34,23,26,26,27,31,29,54,37,34,42,38,28,64,42,50,51,58,44,20,22,20,27,41,68,44,42
Houston Bayland Park C53/A146,1,Reg,59,54,56,41,19,25,24,22,27,21,48,64,38,43,52,36,53,35,53,51,69,41,18,19,20,34,43,61,51,50
Conroe Relocated C78/A321,1,Reg,50,34,43,48,31,50,44,49,35,31,35,43,35,29,36,27,35,32,46,36,49,44,30,26,24,25,32,55,42,41
Manvel Croix Park C84,1,Reg,63,66,68,NV,NA,NV,21,22,27,27,58,45,39,52,39,35,46,31,44,49,65,41,16,18,23,44,52,75,64,66
Clinton C403/C304/AH113,3,Reg,44,43,47,39,21,22,22,NV,19,17,42,48,37,37,42,28,49,38,65,39,54,43,16,18,18,29,37,60,45,47
Houston North Wayside C405/C1033,1,Reg,41,37,38,36,19,27,24,20,18,13,35,42,NV,29,36,26,39,35,65,37,40,41,17,15,17,24,33,54,42,38
Houston Monroe C406,1,Reg,44,49,54,30,18,18,19,18,23,21,46,40,34,42,34,25,45,30,41,37,53,NV,13,14,17,30,35,65,42,45
Lang C408,2,Reg,51,47,53,50,22,29,25,24,21,18,43,55,34,35,39,31,47,35,67,43,56,45,18,19,19,26,36,54,43,44
Houston Croquet C409,2,Reg,55,57,NV,34,18,24,22,22,26,22,51,54,38,51,44,36,49,32,49,46,74,40,18,18,20,37,45,67,56,60
Houston Westhollow C410/C3003,1,Reg,NV,54,58,47,23,25,23,24,28,24,44,64,41,43,54,40,51,33,51,51,68,43,20,20,25,34,44,59,54,55
Houston Texas Avenue C411,1,Reg,52,49,52,47,24,25,27,25,26,20,48,56,36,37,48,32,52,39,70,45,55,46,19,19,21,31,40,61,47,45
Park Place C416,1,Reg,48,51,61,37,21,23,23,23,26,20,49,51,40,43,41,31,53,38,60,42,65,43,17,16,21,33,39,67,47,54
Sheldon C551,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,27,31,25,30,30,36,28,32,30,19,20,21,24,28,40,33,32
