Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,27,37,26,43,57,16,9,16,19,20,27,37,53,69,68,33,28,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NV,55,54
Houston Aldine C8/AF108/X150,2,Reg,38,46,31,42,58,21,12,15,25,25,36,37,49,87,88,37,37,36,32,NA,NA,NV,35,36,40,40,40,57,58,61
Channelview C15/AH115,3,Reg,29,34,35,43,52,16,11,16,19,21,32,35,53,66,67,38,33,37,36,30,NV,34,30,26,42,41,41,61,57,62
Northwest Harris Co. C26/A110/X154,2,Reg,53,57,39,43,67,23,14,22,20,21,22,32,49,82,94,62,48,41,37,39,46,43,35,43,44,41,40,56,54,64
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,37,43,40,64,60,22,NA,NA,20,21,25,48,65,70,73,49,35,35,34,36,42,36,34,30,50,42,45,69,66,74
Seabrook Friendship Park C45,1,Reg,34,39,40,64,58,25,19,21,17,16,22,51,62,63,54,37,35,36,34,38,40,35,31,31,40,43,43,77,67,71
Houston Bayland Park C53/A146,1,Reg,37,38,39,54,62,20,13,16,16,19,24,38,69,55,70,57,31,34,34,33,38,34,30,32,55,43,44,57,60,71
Conroe Relocated C78/A321,1,Reg,34,41,29,39,54,19,16,26,28,29,25,23,39,65,66,39,44,39,38,37,40,36,37,29,35,40,37,51,52,56
Houston Regional Office C81,1,Reg,23,29,30,44,58,15,8,12,17,14,21,42,53,59,62,41,23,27,27,19,26,26,22,23,36,35,39,57,56,60
Manvel Croix Park C84,1,Reg,37,39,48,68,64,20,18,19,23,17,22,36,65,57,77,56,31,29,35,40,41,36,31,30,62,52,54,70,72,88
Clinton C403/C304/AH113,3,Reg,33,30,35,49,60,18,11,14,17,14,22,46,62,67,64,46,29,34,30,29,34,28,25,29,48,40,41,59,60,64
Houston North Wayside C405/C1033,1,Reg,32,35,32,41,54,18,8,14,20,18,30,37,46,76,72,37,30,33,29,26,32,29,26,29,38,36,37,54,55,56
Houston Monroe C406,1,Reg,32,31,36,61,55,19,15,16,17,15,19,45,61,57,61,43,29,30,29,31,34,32,26,26,48,41,39,51,52,64
Lang C408,2,Reg,40,36,36,45,62,20,6,16,19,20,29,40,52,71,79,48,31,36,31,22,31,33,29,32,49,40,37,56,51,60
Houston Croquet C409,2,Reg,36,33,39,64,60,20,15,17,17,17,23,36,77,54,70,53,31,32,32,36,38,31,29,31,56,44,46,60,62,74
Houston Westhollow C410/C3003,1,Reg,36,34,37,49,65,19,11,16,14,16,21,32,63,51,66,60,30,33,33,34,36,29,26,31,54,37,38,52,52,65
