Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,33,44,61,53,36,32,36,49,49,NV,NV,27,34,25,21,18,20,5,16,20,21,14,18,19,20,38,32,26,18,36,29
Houston Aldine C8/AF108/X150,2,Reg,44,58,89,65,49,41,40,61,64,45,32,37,39,32,25,23,23,16,21,25,27,19,25,28,33,41,38,31,29,30,33
Channelview C15/AH115,3,Reg,32,49,56,47,38,36,39,48,47,36,33,29,38,27,24,19,19,15,18,19,22,15,18,22,34,39,37,29,27,33,32
Northwest Harris Co. C26/A110/X154,2,Reg,33,42,49,54,38,25,25,43,50,30,26,28,43,22,25,21,20,21,20,24,24,21,24,27,36,38,37,27,29,29,33
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,25,30,41,42,25,24,22,31,29,24,22,21,29,24,26,22,23,13,19,18,22,14,17,20,29,36,37,34,26,38,40
Seabrook Friendship Park C45,1,Reg,26,31,40,44,27,24,26,34,30,25,23,21,28,27,26,24,27,17,19,17,23,20,20,22,34,44,41,36,33,44,38
Houston Bayland Park C53/A146,1,Reg,29,33,38,44,34,30,30,36,40,34,31,27,37,25,27,29,27,18,21,20,33,21,19,22,NV,51,45,35,31,39,42
Conroe Relocated C78/A321,1,Reg,55,55,60,71,60,30,36,61,59,47,32,39,49,26,23,28,26,26,32,29,22,25,41,43,36,39,37,30,28,28,33
Manvel Croix Park C84,1,Reg,25,26,27,39,26,25,24,28,31,25,23,23,28,25,31,27,25,18,17,19,25,22,20,22,31,60,53,44,33,42,50
Clinton C403/C304/AH113,3,Reg,24,33,44,43,26,26,27,32,37,29,26,21,31,25,25,21,18,8,14,20,23,14,16,17,18,42,36,30,25,38,37
Houston North Wayside C405/C1033,1,Reg,28,40,56,47,31,30,33,41,49,36,27,26,32,22,19,19,14,8,13,17,22,12,17,18,16,33,31,26,20,23,27
Houston Monroe C406,1,Reg,21,22,29,33,21,22,21,25,27,24,23,19,26,22,23,22,19,9,14,16,22,14,16,17,24,38,37,33,22,36,40
Lang C408,2,Reg,36,42,52,50,40,32,32,49,48,37,30,30,37,28,25,21,21,14,20,23,30,16,20,24,28,45,44,33,27,31,37
Houston Croquet C409,2,Reg,25,29,31,NV,27,26,25,28,32,26,26,22,30,23,24,26,23,15,17,16,25,18,16,20,26,55,41,36,29,37,42
Houston Westhollow C410/C3003,1,Reg,31,33,38,44,33,29,27,37,39,29,28,27,39,26,32,24,25,22,19,20,32,21,21,23,34,51,51,38,34,44,46
Houston Texas Avenue C411,1,Reg,28,33,44,45,NV,32,29,37,39,35,31,27,34,27,24,22,20,9,18,21,29,16,21,22,30,47,39,32,27,41,39
Park Place C416,1,Reg,26,28,39,NV,28,26,27,33,36,31,28,23,31,27,23,27,22,9,17,20,26,16,20,20,25,46,40,33,26,41,40
Sheldon C551,1,Non,30,38,48,41,35,31,32,48,41,33,27,27,33,19,18,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baytown Wetlands Center C552,1,Non,27,NV,NA,NA,NV,25,28,35,13,11,9,8,15,7,5,4,3,3,1,2,4,2,2,3,8,13,13,11,7,12,10
