Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,36,29,27,33,22,24,24,22,16,52,61,23,43,33,21,22,22,18,36,42,32,20,18,20,13,16,20,13,17,22
Houston Aldine C8/AF108/X150,2,Reg,34,32,29,35,23,26,26,22,15,51,75,30,52,38,23,22,26,18,40,48,35,20,19,20,13,15,20,14,18,24
Channelview C15/AH115,3,Reg,28,22,20,27,20,20,18,21,15,55,59,18,38,31,18,19,18,14,29,33,32,22,19,19,12,15,17,11,15,20
Northwest Harris Co. C26/A110/X154,2,Reg,28,37,34,NV,20,NV,19,NV,17,43,46,24,NV,26,20,21,NV,NV,NA,NV,19,17,22,16,13,18,21,14,16,21
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,30,26,24,28,18,18,19,19,17,54,49,17,36,26,17,NV,NV,18,34,40,24,20,18,19,13,16,20,14,15,18
Seabrook Friendship Park C45,1,Reg,31,26,25,26,15,20,14,15,16,56,47,16,32,25,16,21,17,18,33,36,24,18,18,17,16,20,21,13,14,14
Houston Bayland Park C53/A146,1,Reg,35,30,NV,25,14,19,14,15,15,49,54,17,41,24,17,19,18,19,27,31,NV,NA,NV,18,16,NV,18,15,15,16
Conroe Relocated C78/A321,1,Reg,32,29,31,56,37,47,44,27,26,51,67,40,51,54,37,36,40,29,46,56,41,24,30,28,25,23,31,21,26,39
Manvel Croix Park C84,1,Reg,30,27,22,24,18,21,17,17,16,54,39,17,35,23,19,19,21,20,27,30,23,17,19,17,16,18,19,15,16,19
Clinton C403/C304/AH113,3,Reg,33,25,23,21,15,17,19,21,11,41,42,15,29,27,19,15,15,11,25,28,25,17,11,12,10,14,15,11,15,14
Houston North Wayside C405/C1033,1,Reg,39,33,28,31,22,24,24,22,13,48,64,23,44,34,24,23,24,17,38,42,32,20,17,19,11,15,20,14,17,20
Houston Monroe C406,1,Reg,36,30,27,27,21,22,20,22,18,56,49,19,33,28,20,21,21,18,28,34,25,20,19,18,13,18,20,14,16,16
