Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,42,32,33,46,66,70,51,36,47,44,27,36,49,49,41,26,28,24,18,30,31,29,29,41,44,56,25,35,34,27
Houston Aldine C8/AF108/X150,2,Reg,45,36,29,51,93,85,63,49,58,49,36,49,53,57,44,38,35,25,27,38,42,35,35,57,53,67,27,45,43,35
Channelview C15/AH115,3,Reg,43,31,30,48,65,62,62,45,48,43,27,34,47,49,42,29,30,27,21,32,30,28,28,37,40,52,25,35,33,26
Northwest Harris Co. C26/A110/X154,2,Reg,44,35,30,45,86,73,44,40,53,45,46,58,48,53,38,38,30,24,25,28,43,33,42,65,53,73,30,39,38,33
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,50,38,46,49,61,62,44,33,48,42,27,35,51,54,42,31,31,NA,NA,NV,35,31,31,43,46,47,34,39,37,31
Seabrook Friendship Park C45,1,Reg,45,32,39,43,51,74,43,35,47,42,NA,NV,46,51,43,36,35,32,25,37,29,29,27,38,40,38,34,35,34,29
Houston Bayland Park C53/A146,1,Reg,57,43,50,68,73,72,47,37,53,50,38,49,69,65,57,39,30,35,31,33,39,33,34,53,45,71,31,35,34,26
Conroe Relocated C78/A321,1,Reg,43,36,27,41,63,67,61,58,63,47,38,39,43,49,38,37,30,27,29,35,34,39,38,50,62,47,39,46,42,36
Manvel Croix Park C84,1,Reg,59,44,44,48,58,54,36,31,47,41,28,36,57,61,46,35,33,30,19,33,32,30,27,43,36,45,25,31,29,23
Clinton C403/C304/AH113,3,Reg,43,33,37,49,59,63,43,33,40,38,27,36,51,51,43,NV,30,24,19,NV,32,29,25,38,37,55,23,32,33,26
Houston North Wayside C405/C1033,1,Reg,39,31,26,46,74,73,51,39,47,44,29,37,44,48,39,29,27,15,16,25,32,28,28,43,45,58,17,35,34,27
Houston Monroe C406,1,Reg,54,40,45,47,57,61,41,33,44,40,30,38,55,59,45,34,35,31,21,32,35,28,27,41,39,49,26,30,30,25
