Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,24,29,39,28,28,45,40,60,57,41,31,20,22,25,25,32,40,43,44,32,45,40,41,35,22,37,67,41,39,50
Houston Aldine C8/AF108/X150,2,Reg,25,NV,45,35,33,42,40,61,61,55,37,25,29,30,32,40,58,40,51,40,52,49,50,43,28,43,64,42,41,49
Channelview C15/AH115,3,Reg,22,28,40,31,29,38,38,53,49,33,27,16,22,24,24,26,40,40,42,27,40,42,43,35,22,31,64,40,37,46
Northwest Harris Co. C26/A110/X154,2,Reg,29,35,43,34,31,NV,41,57,57,48,30,24,21,23,23,33,40,28,39,38,41,38,46,40,24,39,51,NV,35,45
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,25,34,43,32,30,64,51,59,53,37,26,18,20,21,24,26,28,38,34,28,38,38,37,31,NV,28,54,40,45,57
Seabrook Friendship Park C45,1,Reg,26,39,43,36,35,45,57,58,54,36,23,22,20,19,25,20,26,NV,NA,NA,NA,NA,NV,30,20,29,53,43,45,60
Houston Bayland Park C53/A146,1,Reg,28,33,48,40,40,65,64,NV,63,40,29,25,22,22,26,24,35,39,53,41,45,39,43,33,23,32,54,43,NV,64
Conroe Relocated C78/A321,1,Reg,29,43,47,36,34,34,NV,59,58,32,41,30,32,43,32,54,56,32,42,32,45,58,64,52,41,34,62,35,35,47
Manvel Croix Park C84,1,Reg,25,39,47,42,39,69,63,NV,55,33,29,26,19,22,22,27,25,36,40,31,45,37,40,28,20,26,45,48,61,69
Clinton C403/C304/AH113,3,Reg,23,28,41,33,31,50,45,61,55,33,29,21,18,21,20,28,31,37,43,34,37,34,33,24,20,34,47,37,45,49
Houston North Wayside C405/C1033,1,Reg,23,26,39,30,25,33,31,49,45,36,26,17,17,20,20,27,38,34,42,21,35,36,36,29,20,35,46,35,38,42
Houston Monroe C406,1,Reg,22,32,40,30,29,66,51,57,49,27,25,20,17,19,20,25,23,31,34,25,34,31,33,24,16,25,43,40,46,54
Lang C408,2,Reg,26,27,45,34,34,50,46,66,NV,40,33,23,24,26,27,29,38,37,52,39,45,38,43,36,25,42,53,39,47,51
Houston Croquet C409,2,Reg,25,33,47,37,36,64,67,72,55,35,26,25,19,19,22,22,27,33,42,34,43,34,NV,29,20,26,41,43,57,62
Houston Westhollow C410/C3003,1,Reg,27,33,45,42,37,55,56,78,62,40,31,27,21,24,23,29,35,34,54,42,35,36,44,34,22,29,51,41,50,58
Houston Texas Avenue C411,1,Reg,25,28,45,33,32,47,44,63,58,35,29,23,22,21,21,28,33,38,50,34,40,37,39,29,21,37,53,40,47,52
Park Place C416,1,Reg,23,32,46,33,33,62,57,66,56,34,29,23,NV,22,20,29,31,39,43,35,39,36,38,30,20,33,52,43,51,57
Sheldon C551,1,Non,NA,NA,NA,NA,NA,NA,NA,NV,45,32,24,14,18,20,21,26,33,28,35,20,31,31,36,27,16,22,45,29,29,38
Baytown Wetlands Center C552,1,Non,23,37,38,36,27,45,41,50,48,27,22,21,14,16,22,13,25,38,36,24,28,37,35,26,18,24,41,34,32,42
Crosby Library C553,1,Non,30,35,42,30,30,35,39,57,45,37,33,22,29,31,32,43,52,37,49,31,29,44,50,37,29,30,65,39,36,48
West Houston C554,1,Non,24,29,37,37,31,41,49,71,62,42,27,18,18,18,19,19,19,21,21,21,21,21,22,24,26,26,30,30,29,30
La Porte Sylvan Beach C556,1,Non,26,43,40,36,31,42,49,55,52,33,23,23,20,19,26,20,27,35,38,33,37,41,36,29,20,27,48,40,43,49
Mercer Arboretum C557,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,NV,NA,NA
Tom Bass C558,1,Non,21,32,38,31,28,59,51,59,46,25,21,17,11,14,15,20,20,28,30,26,34,30,33,23,14,20,32,35,46,54
Katy Park C559,1,Non,21,29,33,36,30,36,45,66,50,34,23,23,12,16,17,17,22,25,43,37,32,27,39,29,16,22,42,32,30,49
Atascocita C560,1,Non,27,31,40,27,24,29,32,51,48,38,32,21,26,27,26,38,48,30,46,27,44,42,46,39,24,29,57,28,29,39
Meyer Park C561,1,Non,25,23,32,27,24,29,34,50,50,37,30,18,22,22,19,31,37,24,32,25,33,32,38,32,21,33,48,25,30,37
Bunker Hill Village C562,1,Non,24,23,36,34,32,48,45,68,57,35,27,20,17,20,21,25,33,33,51,40,38,32,37,30,20,30,41,31,45,50
Huffman Wolf Road C563,1,Non,27,34,33,27,NV,NA,35,33,NV,NA,31,21,25,32,34,44,52,27,36,19,34,45,49,38,26,21,55,30,28,40
Clear Brook High School C570,1,Non,22,33,40,35,34,63,50,58,49,29,24,18,18,19,21,21,21,31,32,27,35,34,33,24,16,29,47,42,52,55
Clear Creek High School C571,1,Non,23,34,43,38,37,58,60,60,53,32,22,17,18,17,23,19,24,35,35,30,39,37,35,25,17,28,52,42,55,57
HRM-3 Haden Road C603/A114,1,Non,23,25,40,30,31,50,42,60,56,39,29,17,21,22,23,28,38,40,42,30,43,38,37,32,19,31,64,36,39,49
Wallisville Road C617,1,Non,26,40,46,39,31,44,46,58,57,34,27,24,24,24,30,30,39,45,42,28,38,46,45,35,25,29,63,41,37,49
Danciger C618,1,Non,25,32,38,43,38,52,55,63,41,27,22,20,18,21,22,NV,20,22,30,26,32,31,40,21,17,19,36,39,53,63
Texas City 34th St. C620,1,Non,27,39,49,44,50,56,66,67,61,37,26,22,19,21,26,20,22,37,34,38,43,44,38,29,20,32,53,50,49,63
UH Moody Tower C695,1,Non,26,28,47,35,32,57,49,64,56,34,28,23,19,21,21,28,32,39,45,35,43,37,40,30,22,37,55,47,51,56
U of H-Sugarland C696,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NV,34,27,25,20,23,22,24,27,34,41,33,39,34,45,32,17,25,45,41,53,69
UH Coastal Center C697,1,Non,24,34,46,41,42,62,60,62,56,32,23,19,18,18,23,18,22,31,33,33,39,40,36,25,18,26,50,NV,NV,58
UH WG Jones Forest C698,1,Non,36,42,44,37,35,37,46,57,60,36,43,28,33,38,31,53,59,32,47,31,48,NV,NA,NA,NA,38,63,38,40,49
UH West Liberty C699,1,Non,23,37,38,27,24,28,34,52,NV,20,30,22,21,NV,NV,36,45,26,28,20,35,41,44,32,23,21,46,NV,28,NV
Lynchburg Ferry C1015/A165,1,Reg,24,35,40,29,25,36,45,54,50,32,26,21,22,24,26,25,33,42,39,26,37,41,39,32,20,29,55,34,35,48
Lake Jackson C1016,1,Reg,26,30,46,41,38,50,56,63,48,27,25,22,19,20,23,19,18,25,30,29,33,37,43,23,19,24,43,39,60,61
Baytown Garth C1017,1,Reg,NV,NV,NV,36,27,41,44,57,55,32,25,22,22,18,27,29,38,42,39,25,35,43,42,32,23,26,61,37,35,48
Galveston 99th St. C1034/A320/X183,1,Reg,30,42,59,50,63,53,61,75,66,40,28,23,20,21,25,19,20,36,37,43,45,47,41,36,22,30,45,53,60,62
UH Smith Point C1606,1,Non,30,44,54,46,52,42,61,64,60,34,29,29,NV,22,26,22,24,37,40,35,41,48,40,33,23,27,53,56,45,58
