Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,19,29,25,22,25,40,45,28,16,21,18,19,29,41,36,33,32,31,30,42,39,30,30,28,24,22,27,59,50,38,38
Houston Aldine C8/AF108/X150,2,Reg,19,33,28,22,28,41,46,21,18,22,17,11,33,49,40,35,35,38,30,39,36,33,32,28,24,23,32,42,49,41,41
Channelview C15/AH115,3,Reg,21,26,25,22,24,45,NA,NA,NA,NA,NV,NV,NV,NV,NA,NA,NV,NA,NV,NV,NV,NV,20,NV,NA,NV,NA,NV,NV,NV,NA
Northwest Harris Co. C26/A110/X154,2,Reg,26,31,29,25,34,35,35,20,18,23,17,22,27,40,34,37,NV,36,NV,NA,NA,NA,NV,34,24,22,27,24,40,27,28
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,22,25,23,17,19,33,NV,21,19,22,19,20,30,39,30,30,33,26,22,38,33,21,30,24,25,20,22,44,38,28,24
Seabrook Friendship Park C45,1,Reg,24,25,24,17,19,30,32,23,21,25,21,24,40,39,34,29,30,25,21,36,29,20,29,22,22,19,18,30,33,26,21
Houston Bayland Park C53/A146,1,Reg,20,20,20,19,24,29,35,20,18,20,17,14,25,37,28,24,24,25,21,28,28,23,27,23,21,18,18,33,36,29,27
Conroe Relocated C78/A321,1,Reg,29,46,36,33,49,45,33,30,28,34,20,22,35,37,35,45,43,50,25,30,34,31,37,40,32,28,42,32,45,29,35
Manvel Croix Park C84,1,Reg,23,22,20,24,21,28,31,26,21,28,23,22,34,35,30,29,26,24,23,31,31,20,29,24,23,20,24,37,31,24,24
Clinton C403/C304/AH113,3,Reg,19,20,17,21,20,32,38,28,11,12,11,14,30,41,31,23,21,21,21,28,32,24,24,17,15,15,20,48,42,26,25
Houston North Wayside C405/C1033,1,Reg,16,27,22,20,22,36,44,19,13,16,11,7,23,46,36,26,26,25,28,33,31,30,22,20,17,18,24,48,44,37,36
Houston Monroe C406,1,Reg,20,19,20,21,21,29,34,22,14,24,21,17,26,34,27,26,26,22,21,35,31,24,28,23,23,20,24,38,35,29,26
Lang C408,2,Reg,20,25,25,25,27,37,44,23,16,21,18,14,19,49,33,31,25,31,23,35,31,31,26,28,23,20,29,39,44,32,32
Houston Croquet C409,2,Reg,21,19,18,21,24,27,35,22,21,24,20,17,29,37,29,26,22,26,21,31,29,20,27,19,21,17,17,35,33,27,24
Houston Westhollow C410/C3003,1,Reg,22,24,23,21,23,26,33,24,18,22,19,18,29,37,32,26,24,24,21,27,27,22,27,25,20,17,22,26,34,24,25
Houston Texas Avenue C411,1,Reg,21,21,23,23,21,34,44,NV,NV,20,15,13,21,46,32,28,NV,NV,25,35,34,29,30,24,22,19,25,44,42,34,31
Park Place C416,1,Reg,19,21,22,21,22,30,38,22,17,21,19,16,23,37,29,29,27,25,23,34,32,24,30,24,22,19,24,41,38,29,27
Sheldon C551,1,Non,15,26,25,19,22,38,37,16,11,15,12,13,27,34,30,25,32,28,27,37,35,27,21,23,20,17,NV,40,47,39,34
Baytown Wetlands Center C552,1,Non,24,25,23,20,25,37,38,20,15,21,20,22,35,38,31,30,29,26,25,55,40,26,28,25,22,20,21,52,42,38,27
Crosby Library C553,1,Non,21,30,34,27,33,50,42,29,21,20,17,24,33,40,38,33,34,37,34,43,43,34,27,33,NV,NA,NA,NA,NA,NA,NA
West Houston C554,1,Non,22,26,24,22,28,30,36,20,15,21,18,16,25,38,33,29,26,29,20,31,27,25,30,28,21,19,23,29,36,25,26
La Porte Sylvan Beach C556,1,Non,25,27,26,20,23,35,36,24,23,24,21,26,45,39,34,33,32,29,22,42,35,25,30,25,25,22,21,36,35,31,24
Mercer Arboretum C557,1,Non,21,40,33,24,36,46,43,24,20,24,18,15,26,41,40,40,37,43,24,29,33,32,34,36,27,24,37,33,52,38,42
Tom Bass C558,1,Non,19,20,20,19,17,25,32,21,19,22,18,17,26,30,25,25,22,21,19,28,26,19,25,22,20,17,21,32,30,23,21
Katy Park C559,1,Non,23,24,20,18,21,25,30,19,15,22,18,16,29,32,26,23,22,24,21,28,25,20,27,23,20,16,18,26,32,21,23
Atascocita C560,1,Non,22,38,33,25,33,48,43,26,20,21,15,18,35,48,41,39,41,43,32,34,40,33,31,33,26,25,35,42,53,44,42
Meyer Park C561,1,Non,23,33,29,23,34,36,38,21,19,19,17,17,24,49,35,37,32,37,21,26,29,27,38,34,26,22,34,25,43,28,31
Bunker Hill Village C562,1,Non,19,21,22,21,26,36,37,20,15,20,17,13,20,41,31,26,23,27,22,30,28,25,26,25,22,18,25,32,40,28,29
Huffman Wolf Road C563,1,Non,26,32,42,36,43,58,40,32,30,27,21,30,36,41,44,36,40,45,41,36,46,41,35,41,36,32,41,39,58,NV,NA
Clear Brook High School C570,1,Non,22,20,18,NV,18,29,29,24,21,24,19,20,34,35,29,27,26,20,20,33,31,21,29,22,25,20,20,34,36,25,22
Clear Lake High School C572,1,Non,20,23,23,16,17,27,21,17,20,27,20,NV,20,31,NV,27,NV,NV,18,24,19,17,28,21,23,19,NV,16,18,24,21
HRM-3 Haden Road C603/A114,1,Non,19,27,25,20,21,40,42,23,12,19,17,14,27,37,32,28,29,29,27,39,39,28,26,24,24,21,23,58,46,36,34
Wallisville Road C617,1,Non,27,30,28,26,28,51,44,28,21,22,21,27,37,45,35,33,35,31,33,51,48,37,29,29,26,24,28,53,51,46,42
Danciger C618,1,Non,21,NV,18,17,17,20,NA,NA,NV,25,24,23,29,30,27,20,24,19,21,25,26,19,24,20,22,NV,14,20,26,18,17
Mustang Bayou C619,1,Non,22,20,19,17,15,23,22,26,25,27,21,22,32,28,28,22,23,17,21,23,25,18,23,21,23,19,17,24,25,21,19
Texas City 34th St. C620,1,Non,26,24,22,19,19,22,31,28,25,31,28,24,42,36,34,29,26,21,25,30,26,23,32,22,23,18,16,25,29,23,18
UH Moody Tower C695,1,Non,27,27,29,27,26,NV,NV,21,18,21,18,17,28,40,30,26,29,28,27,36,36,27,31,26,24,18,NV,39,37,30,25
U of H-Sugarland C696,1,Non,20,22,20,17,17,25,29,22,18,23,20,17,31,27,27,22,23,18,17,24,26,17,22,20,20,16,15,27,27,22,19
UH Coastal Center C697,1,Non,25,22,22,18,17,25,27,29,30,30,26,23,38,34,31,27,25,20,26,28,26,19,30,21,23,18,17,25,31,21,19
UH WG Jones Forest C698,1,Non,30,49,45,32,49,48,36,NV,NA,NV,18,25,38,44,44,48,40,56,26,37,35,35,44,45,33,NA,NV,31,49,32,34
UH West Liberty C699,1,Non,23,24,33,29,33,50,34,29,24,24,19,27,35,38,38,27,32,32,36,34,41,35,29,32,30,28,39,33,53,46,39
Lynchburg Ferry C1015/A165,1,Reg,22,26,26,20,22,45,37,25,17,21,17,21,33,38,30,29,27,28,27,42,40,29,25,25,26,21,21,49,43,34,29
