Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,65,40,57,34,11,62,56,55,88,36,52,65,53,64,22,31,76,58,27,18,15,19,21,40,17,19,22,39,32,38
Houston Aldine C8/AF108/X150,2,Reg,81,48,72,43,17,62,59,56,72,42,58,70,64,71,22,40,81,61,35,21,20,21,25,47,22,19,28,55,34,50
Channelview C15/AH115,3,Reg,71,47,45,30,18,56,57,NV,NV,42,50,62,59,67,21,37,76,58,30,19,14,19,23,43,17,18,29,47,33,58
Northwest Harris Co. C26/A110/X154,2,Reg,42,36,58,42,17,48,54,48,63,41,54,56,54,66,25,NV,NV,49,27,21,22,22,27,51,24,23,22,37,30,34
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,63,37,48,32,19,60,59,60,74,45,68,78,66,67,22,37,65,57,25,21,17,22,23,47,21,23,30,32,34,45
Seabrook Friendship Park C45,1,Reg,56,34,37,28,21,43,56,63,57,43,59,67,63,63,20,37,59,46,22,17,16,21,22,47,23,20,27,33,34,56
Houston Bayland Park C53/A146,1,Reg,46,33,44,30,20,56,59,61,83,54,78,91,80,68,25,43,70,NV,NV,19,22,24,24,50,22,22,22,37,35,40
Conroe Relocated C78/A321,1,Reg,41,42,61,51,21,47,51,48,43,40,48,55,50,83,28,43,60,54,36,27,32,29,31,55,33,26,32,38,32,49
Manvel Croix Park C84,1,Reg,NA,NA,NA,NA,NV,52,52,59,62,54,80,90,79,61,18,38,52,46,21,17,16,19,20,46,20,17,NA,NV,31,28
Clinton C403/C304/AH113,3,Reg,55,34,45,26,15,53,51,53,92,44,58,73,62,54,NA,NA,NV,40,20,13,14,17,21,40,13,17,15,27,32,31
Houston North Wayside C405/C1033,1,Reg,66,38,59,32,14,50,49,49,73,39,49,62,53,60,16,31,67,50,24,15,14,16,19,38,14,17,21,36,28,37
Houston Monroe C406,1,Reg,44,30,41,27,17,54,55,58,69,41,67,81,71,55,19,37,55,49,22,16,15,19,20,43,20,18,24,28,32,32
Lang C408,2,Reg,55,37,51,33,15,52,54,51,88,41,60,74,62,64,23,40,75,51,31,21,20,21,24,43,22,16,21,42,30,41
Houston Croquet C409,2,Reg,33,25,35,23,16,48,50,53,68,47,83,84,75,58,20,34,61,46,21,15,17,18,18,42,20,NV,18,28,30,33
Houston Westhollow C410/C3003,1,Reg,39,34,41,27,19,48,52,56,76,47,67,70,65,61,24,43,55,49,22,18,16,19,NV,47,22,21,21,32,30,36
Park Place C416,1,Reg,49,33,46,30,14,56,56,57,88,49,68,82,72,61,21,35,65,NV,NV,17,17,21,23,45,20,20,21,31,37,36
Baytown Wetlands Center C552,1,Non,44,30,25,19,12,40,NV,NA,NA,NA,NV,50,48,52,16,23,55,37,14,10,9,13,12,23,8,10,12,16,16,38
Crosby Library C553,1,Non,50,49,41,28,13,54,37,42,49,35,40,47,42,59,19,29,56,54,28,19,14,18,17,34,16,15,23,45,22,48
West Houston C554,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,55,56,21,36,48,42,20,16,16,19,21,43,19,NV,NV,NV,NA,NA
La Porte Sylvan Beach C556,1,Non,37,24,24,19,15,30,37,42,35,28,39,45,51,51,17,28,46,32,13,12,12,18,18,35,17,15,NV,29,32,52
Tom Bass C558,1,Non,NV,NA,NA,NA,26,55,55,60,73,54,79,91,80,62,33,39,60,52,28,23,25,NA,NV,38,26,24,27,30,35,35
Katy Park C559,1,Non,41,33,43,28,19,41,49,55,71,41,60,58,58,65,23,41,51,47,21,17,16,14,17,47,22,21,22,30,31,35
Atascocita C560,1,Non,53,40,46,29,12,39,38,35,39,28,35,43,39,59,30,32,56,43,26,15,13,15,18,38,15,12,23,38,22,38
Meyer Park C561,1,Non,56,39,63,45,16,43,48,45,60,NA,NA,NV,53,68,23,37,63,47,28,20,23,22,24,48,23,22,21,39,27,40
Huffman Wolf Road C563,1,Non,29,36,30,21,13,33,30,27,28,25,27,31,27,40,14,24,36,35,24,18,13,15,16,27,15,13,17,25,19,32
HRM-3 Haden Road C603/A114,1,Non,69,41,52,32,14,59,55,54,86,40,53,64,56,59,19,33,75,57,27,18,15,19,24,42,15,NV,26,39,31,41
Wallisville Road C617,1,Non,56,53,37,28,22,65,57,53,62,42,52,58,53,66,22,38,76,61,28,NA,NV,25,27,46,21,22,26,48,33,57
Danciger C618,1,Non,23,20,24,18,19,43,36,52,57,60,53,57,73,55,19,40,50,42,18,19,17,21,18,47,22,20,20,23,28,30
Texas City 34th St. C620,1,Non,46,31,42,28,24,51,54,73,74,47,72,83,77,68,23,44,59,51,25,20,20,26,26,55,26,23,30,38,35,47
UH Moody Tower C695,1,Non,52,36,50,32,16,62,59,59,93,49,69,83,75,65,23,39,77,58,26,19,18,22,25,48,23,22,25,37,38,40
UH WG Jones Forest C698,1,Non,59,48,71,55,20,49,55,51,51,43,53,60,55,83,28,NV,64,NV,35,26,30,28,30,59,32,27,29,36,31,52
UH West Liberty C699,1,Non,40,57,43,28,18,57,49,43,44,40,43,51,46,65,21,38,58,55,37,NV,18,21,25,43,23,19,25,46,31,51
Lynchburg Ferry C1015/A165,1,Reg,70,44,38,NV,NV,58,55,48,69,32,49,58,61,66,22,38,77,53,27,21,17,22,25,46,18,19,26,47,31,59
Lake Jackson C1016,1,Reg,23,21,22,20,22,38,35,50,48,63,54,57,68,59,20,42,47,41,18,17,17,21,18,49,25,22,24,26,29,31
Baytown Garth C1017,1,Reg,57,55,39,30,23,68,58,53,63,42,49,56,52,67,24,40,76,63,30,22,19,25,28,50,24,23,28,50,36,58
Galveston 99th St. C1034/A320/X183,1,Reg,43,24,38,28,25,53,43,81,73,44,72,73,81,70,21,45,51,48,29,17,20,25,23,55,29,26,29,38,40,42
UH Smith Point C1606,1,Non,NV,NV,NA,NA,NV,NA,NA,NV,NA,NV,NV,NV,NV,NA,NA,NA,NA,NV,26,NV,NA,NA,NV,NV,NA,NA,NV,NV,NV,56
Oyster Creek C1607,1,Non,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,32,15,12,NA,NA,NA,NA,NA,NA,NV,29,31,33
