Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,28,43,46,51,53,50,30,21,32,32,31,58,48,45,38,51,12,24,38,41,36,54,65,75,53,25,25,54,24,58,28
Houston Aldine C8/AF108/X150,2,Reg,36,51,39,42,55,51,44,25,38,34,37,66,53,48,38,58,12,32,33,37,47,53,55,72,61,28,30,43,28,68,33
Channelview C15/AH115,3,Reg,26,45,38,44,45,50,29,16,25,30,26,45,55,46,37,60,11,23,28,32,32,54,57,63,53,23,25,47,31,48,27
Northwest Harris Co. C26/A110/X154,2,Reg,23,26,29,29,42,37,26,21,30,27,32,33,32,32,26,37,11,21,28,27,24,29,NV,NV,48,25,25,NV,36,66,27
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,21,34,42,46,46,41,24,21,25,25,24,44,36,34,40,41,14,23,41,44,26,40,57,70,41,19,19,44,28,48,24
Seabrook Friendship Park C45,1,Reg,18,31,37,48,47,42,26,19,22,25,24,40,39,31,44,47,16,21,31,34,23,34,59,68,38,19,22,33,27,49,28
Houston Bayland Park C53/A146,1,Reg,NA,NV,56,59,41,36,24,21,22,25,22,38,37,39,43,44,13,27,52,57,29,46,57,50,42,19,22,34,26,55,23
Conroe Relocated C78/A321,1,Reg,48,25,29,36,53,59,45,34,55,42,65,50,43,50,44,59,27,27,28,33,58,43,51,50,63,34,33,32,39,72,36
Manvel Croix Park C84,1,Reg,21,23,49,53,41,36,22,19,27,28,21,32,33,32,43,39,16,23,53,40,23,31,54,51,35,19,18,32,39,49,21
Clinton C403/C304/AH113,3,Reg,NV,35,44,51,40,41,21,14,22,22,19,48,37,31,28,30,10,21,41,42,24,41,54,65,36,19,19,45,21,47,17
Houston North Wayside C405/C1033,1,Reg,29,44,40,47,49,47,34,18,32,30,32,61,51,45,39,42,10,24,30,35,36,53,51,68,52,23,24,41,24,57,25
Houston Monroe C406,1,Reg,21,28,NV,44,38,36,22,19,24,25,18,39,32,31,32,35,13,21,44,50,22,35,53,62,35,18,17,36,26,50,19
Lang C408,2,Reg,32,47,49,47,50,41,33,20,32,31,30,51,44,39,39,48,12,27,46,49,36,50,62,60,53,24,28,35,26,60,28
Houston Croquet C409,2,Reg,22,34,54,65,42,35,25,21,23,26,21,35,35,36,40,41,14,26,57,47,26,44,52,49,40,19,21,34,30,51,23
Houston Westhollow C410/C3003,1,Reg,25,36,55,56,44,38,26,21,28,25,26,35,39,36,42,39,16,28,53,49,26,40,49,48,40,21,20,31,30,49,24
Houston Texas Avenue C411,1,Reg,23,40,47,51,44,39,27,17,29,27,23,49,39,37,37,40,12,25,37,47,NV,49,NV,NA,NV,21,21,NV,24,51,23
Park Place C416,1,Reg,24,NV,50,NV,NA,NA,NV,21,29,28,22,51,39,39,36,37,14,24,52,61,28,44,61,68,43,22,20,45,27,55,23
Sheldon C551,1,Non,37,54,43,49,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,36,36,47,41,18,23,37,22,38,20
Baytown Wetlands Center C552,1,Non,21,43,36,42,43,47,27,20,25,26,24,35,44,34,36,44,16,20,28,33,26,47,49,54,44,20,21,45,28,44,27
Crosby Library C553,1,Non,37,48,31,40,47,52,37,25,40,38,32,44,54,45,35,58,16,28,23,30,44,44,46,42,NV,30,34,48,28,50,34
West Houston C554,1,Non,23,28,38,43,37,31,20,15,23,21,22,31,32,27,33,33,10,21,37,37,22,33,43,38,34,17,18,22,23,43,19
La Porte Sylvan Beach C556,1,Non,NV,38,41,49,49,52,29,23,27,29,28,41,43,36,50,53,18,24,32,36,31,44,58,71,45,23,24,43,29,55,33
Mercer Arboretum C557,1,Non,41,44,36,36,48,48,43,31,45,38,47,61,50,44,31,60,14,24,28,29,52,42,46,57,63,28,30,31,28,66,31
Tom Bass C558,1,Non,17,22,43,47,35,31,18,16,24,23,18,31,28,28,33,33,13,21,46,41,19,31,47,49,32,17,16,31,27,48,17
Katy Park C559,1,Non,22,28,39,50,45,35,25,19,23,26,30,33,35,33,31,35,16,25,41,39,24,38,43,42,36,20,21,28,31,45,24
Atascocita C560,1,Non,35,47,31,38,45,49,40,27,40,36,45,50,50,47,31,53,14,24,25,30,46,43,45,59,62,30,32,40,28,55,32
Meyer Park C561,1,Non,38,38,38,36,50,40,34,25,38,32,39,62,40,39,42,55,13,28,35,35,42,41,53,56,57,25,24,28,32,68,28
Bunker Hill Village C562,1,Non,24,36,49,48,37,33,28,17,25,26,23,35,36,35,37,37,12,25,44,48,30,40,54,48,44,20,22,35,26,50,23
Huffman Wolf Road C563,1,Non,37,36,26,33,45,48,39,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NV,NA,NA,NA,NA,NA,NA,NA,NA
Clear Brook High School C570,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,42,38,15,24,44,49,23,33,61,73,38,21,23,37,37,57,24
Clear Creek High School C571,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,53,33
Clear Lake High School C572,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NV,27,24,42,37,31,46,40,NV,NA,NA,NA,NV,35,56,NA,NA,NV,22,35,31,48,27
HRM-3 Haden Road C603/A114,1,Non,25,44,47,51,47,48,32,19,32,33,29,54,49,44,NV,54,11,22,39,39,32,50,64,73,53,22,24,54,NV,55,26
Wallisville Road C617,1,Non,34,53,44,53,53,59,38,25,37,37,30,49,67,54,42,61,20,27,34,39,47,58,61,60,66,27,30,54,25,53,33
Danciger C618,1,Non,17,21,26,49,43,24,21,17,18,28,18,25,27,27,28,28,16,18,40,20,17,24,37,31,22,16,17,21,36,25,15
Mustang Bayou C619,1,Non,18,21,41,55,42,37,23,17,18,27,19,27,34,31,35,33,17,24,45,37,19,23,49,54,28,20,21,22,40,46,18
Texas City 34th St. C620,1,Non,19,25,42,54,52,45,22,16,19,25,23,39,36,29,51,47,15,28,46,37,20,27,56,70,34,19,19,23,41,55,28
UH Moody Tower C695,1,Non,28,45,60,NV,NV,NV,31,24,34,32,26,59,44,43,46,NV,16,NV,NV,61,34,53,72,76,52,25,23,52,37,63,27
U of H-Sugarland C696,1,Non,18,27,48,64,40,33,22,18,20,NV,NV,27,31,34,39,NV,14,NV,NV,37,19,35,39,43,32,18,18,27,35,38,21
UH Coastal Center C697,1,Non,17,20,48,52,40,37,21,16,18,26,19,38,33,27,39,NV,17,NV,NV,36,19,23,50,69,30,18,18,21,40,55,26
UH WG Jones Forest C698,1,Non,47,33,NV,36,54,54,43,33,53,39,63,58,46,47,46,76,21,NV,NV,36,58,38,52,58,62,31,31,26,40,83,33
UH West Liberty C699,1,Non,50,46,31,40,57,58,45,38,52,38,36,NV,48,56,36,NV,19,NV,NV,32,56,38,46,50,70,35,NV,40,35,53,43
Lynchburg Ferry C1015/A165,1,Reg,21,53,40,43,42,47,25,16,24,26,24,41,45,40,35,50,14,20,28,38,30,57,50,57,48,20,19,46,24,47,25
Lake Jackson C1016,1,Reg,18,19,28,55,47,28,19,16,17,25,19,25,28,23,27,24,16,22,44,23,17,17,37,34,20,16,16,17,NV,23,13
Baytown Garth C1017,1,Reg,35,51,43,51,52,54,34,23,35,34,28,45,61,51,39,58,20,26,32,37,44,53,57,55,60,26,29,50,30,51,32
Galveston 99th St. C1034/A320/X183,1,Reg,19,19,63,62,57,56,28,19,19,28,23,40,35,27,42,59,20,26,58,NV,NV,25,52,74,32,NV,19,NV,48,63,33
