Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,57,22,21,24,25,24,25,26,27,19,19,24,26,24,27,49,38,38,26,38,52,67,36,35,33,32,14,16,35,33,22
Houston Aldine C8/AF108/X150,2,Reg,65,30,23,28,32,27,28,33,33,23,23,30,31,29,40,59,44,47,28,54,72,83,48,44,NV,NA,NV,25,52,38,27
Channelview C15/AH115,3,Reg,46,24,22,25,26,26,25,27,25,21,19,23,26,27,27,48,36,34,27,33,43,54,37,38,29,32,14,25,38,37,23
Northwest Harris Co. C26/A110/X154,2,Reg,67,20,19,21,25,21,25,27,24,18,20,NV,24,23,24,45,34,46,32,54,79,65,37,30,29,37,21,20,35,28,22
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,38,19,20,23,22,22,21,22,23,18,16,20,21,21,21,44,35,34,26,33,44,54,30,27,29,32,15,36,26,25,19
Seabrook Friendship Park C45,1,Reg,49,22,20,22,25,21,20,21,20,19,16,19,19,19,21,44,32,30,30,30,39,52,30,25,31,34,20,44,28,27,21
Houston Bayland Park C53/A146,1,Reg,61,22,21,25,24,21,24,26,23,20,19,24,22,21,26,44,32,40,38,47,63,55,33,30,36,34,NV,27,36,32,25
Conroe Relocated C78/A321,1,Reg,52,35,26,33,43,36,43,43,37,24,34,42,40,44,35,59,44,44,33,41,48,68,54,43,32,50,24,30,34,37,31
Manvel Croix Park C84,1,Reg,47,19,20,23,22,23,24,24,25,19,19,28,25,19,21,44,33,32,34,36,47,47,29,23,29,36,25,32,28,26,21
Clinton C403/C304/AH113,3,Reg,50,19,19,23,20,20,20,21,23,17,16,19,21,18,20,42,30,31,26,38,49,58,29,27,29,25,14,15,26,27,20
Houston North Wayside C405/C1033,1,Reg,54,21,16,19,20,18,20,21,NV,NV,16,20,20,18,27,45,32,30,22,39,53,61,31,30,28,25,9,11,32,30,19
Houston Monroe C406,1,Reg,44,16,17,20,20,19,19,20,20,16,15,18,20,18,18,36,26,27,25,32,39,42,24,21,27,31,16,26,23,23,17
Lang C408,2,Reg,66,26,24,27,28,22,24,28,28,21,19,25,23,26,28,45,34,38,31,49,74,68,39,34,37,30,17,22,41,30,25
Houston Croquet C409,2,Reg,50,21,19,22,21,19,21,23,20,17,18,23,20,17,21,39,29,33,32,39,51,46,27,24,30,32,21,29,29,26,21
Houston Westhollow C410/C3003,1,Reg,60,21,21,24,24,22,24,26,25,19,18,25,25,22,22,41,32,40,40,47,60,52,36,31,34,33,31,27,29,29,23
Houston Texas Avenue C411,1,Reg,54,22,18,22,23,21,21,24,24,18,17,24,24,20,28,44,31,35,28,44,57,62,31,29,34,30,16,22,31,31,23
Park Place C416,1,Reg,54,19,19,22,22,21,21,23,23,17,17,22,23,19,22,42,30,35,27,40,49,57,29,25,34,33,17,26,27,28,20
Sheldon C551,1,Non,38,22,18,20,22,20,20,22,18,15,15,18,20,20,20,38,29,28,13,29,43,51,35,33,26,26,10,19,33,28,18
Baytown Wetlands Center C552,1,Non,36,19,18,20,20,17,16,19,18,18,15,17,16,17,18,34,28,28,23,24,34,43,29,25,27,28,16,30,27,27,19
Crosby Library C553,1,Non,48,31,29,31,33,32,31,33,34,31,27,27,34,31,35,50,38,37,29,35,50,67,45,45,33,31,18,30,41,40,29
West Houston C554,1,Non,30,29,30,33,30,30,34,34,31,32,35,35,NV,NA,NA,NA,NA,NA,NA,NA,85,58,36,33,37,31,30,23,37,37,37
La Porte Sylvan Beach C556,1,Non,44,20,20,23,23,20,18,20,20,18,16,18,19,19,19,39,30,29,28,28,39,46,28,24,30,32,18,43,26,27,20
Mercer Arboretum C557,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,31,58,39,30,15,37,58,79,44,34,25,33,13,15,11,7,4
Tom Bass C558,1,Non,38,14,14,16,17,16,16,15,16,11,12,18,17,14,15,32,22,25,24,30,40,38,23,18,25,28,17,23,20,20,15
Katy Park C559,1,Non,54,16,18,21,19,15,17,19,17,17,14,19,18,16,18,31,27,34,33,38,39,37,25,20,28,28,21,20,24,22,17
Atascocita C560,1,Non,49,27,24,23,28,25,26,29,27,19,22,27,28,25,34,51,36,39,24,39,51,65,42,38,28,30,17,15,40,33,24
Meyer Park C561,1,Non,55,19,18,22,26,23,25,26,24,16,18,23,23,20,25,41,29,33,21,43,60,60,34,29,32,30,16,16,26,23,19
