Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,59,61,74,44,35,32,32,23,32,60,82,50,36,22,34,34,63,41,20,15,26,37,51,46,49,43,53,33,38,5,7
Houston Aldine C8/AF108/X150,2,Reg,62,82,83,56,49,41,35,28,43,55,74,59,39,31,35,36,69,47,24,20,36,35,49,53,62,55,65,34,43,10,16
Channelview C15/AH115,3,Reg,61,56,72,57,39,35,35,25,37,48,72,56,41,25,38,34,65,44,23,17,30,42,57,43,54,49,56,33,33,12,9
Northwest Harris Co. C26/A110/X154,2,Reg,33,79,60,42,37,32,31,26,39,60,83,58,34,25,27,32,64,43,26,25,30,31,39,57,66,62,68,51,54,19,30
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,65,60,78,42,33,30,31,22,31,64,89,56,38,21,30,NV,NA,NV,22,23,28,37,66,66,66,61,69,44,36,15,16
Seabrook Friendship Park C45,1,Reg,66,55,63,39,29,28,29,20,24,60,71,55,36,22,26,50,75,30,23,20,28,34,59,58,65,59,63,48,31,19,22
Houston Bayland Park C53/A146,1,Reg,39,50,54,40,33,30,30,19,27,67,89,57,28,23,28,35,75,35,18,18,27,29,48,61,69,62,77,51,39,12,19
Conroe Relocated C78/A321,1,Reg,39,65,60,62,54,44,37,33,52,34,53,62,37,27,23,19,33,33,19,26,25,25,31,39,56,53,58,36,41,24,22
Houston Regional Office C81,1,Reg,47,54,50,34,29,29,26,20,23,69,86,49,28,19,28,33,60,32,15,15,19,24,38,43,48,47,58,34,30,4,9
Manvel Croix Park C84,1,Reg,36,46,51,35,25,25,29,21,27,53,81,50,30,20,21,42,71,NV,21,20,27,33,45,75,81,74,88,63,38,12,20
Clinton C403/C304/AH113,3,Reg,52,50,55,36,30,26,28,20,24,69,91,52,28,18,32,40,68,33,15,14,23,34,NV,NV,60,56,63,39,43,9,13
Houston North Wayside C405/C1033,1,Reg,55,63,70,42,38,34,29,23,28,54,76,44,32,23,34,34,58,39,18,14,27,32,NV,NA,NA,NV,56,31,41,5,7
Houston Monroe C406,1,Reg,36,43,49,33,25,24,26,18,20,63,76,46,28,17,25,40,77,31,18,17,22,28,45,58,60,53,61,44,32,8,15
Lang C408,2,Reg,44,64,60,46,40,34,30,24,36,77,86,58,30,25,28,34,68,39,21,20,28,30,45,46,60,56,67,43,47,9,16
Houston Croquet C409,2,Reg,35,46,51,35,27,27,28,19,23,59,79,53,29,20,26,36,67,31,16,17,26,31,43,69,69,61,75,54,37,12,19
Houston Westhollow C410/C3003,1,Reg,33,48,46,38,30,26,27,20,26,52,70,46,25,18,23,31,64,30,20,18,24,27,38,56,65,62,72,55,38,13,18
Houston Texas Avenue C411,1,Reg,44,50,50,37,32,29,29,19,26,81,82,50,30,20,31,35,65,34,16,15,25,31,44,52,59,NV,60,37,40,8,12
Park Place C416,1,Reg,48,54,58,40,33,31,31,24,27,74,93,56,34,21,31,42,79,36,20,19,26,34,55,66,63,60,68,45,41,9,16
Sheldon C551,1,Non,57,57,68,58,43,37,36,26,39,49,NV,59,41,28,38,34,59,48,21,13,30,42,NV,NV,61,56,63,33,41,9,12
Baytown Wetlands Center C552,1,Non,78,52,59,45,NV,30,33,24,30,47,76,57,42,23,35,36,73,36,24,17,29,44,66,51,66,59,65,39,29,16,13
Crosby Library C553,1,Non,61,69,56,77,57,44,44,38,46,39,68,74,52,30,38,34,59,55,27,15,47,42,53,50,62,56,64,32,37,14,16
West Houston C554,1,Non,33,57,51,44,35,29,30,21,31,67,82,49,29,22,26,31,72,38,23,22,27,33,41,59,67,65,74,55,46,17,22
La Porte Sylvan Beach C556,1,Non,NA,NA,NA,NA,NV,31,33,22,28,60,77,60,40,25,30,45,80,36,25,21,29,37,NV,NV,66,58,64,48,32,21,20
Mercer Arboretum C557,1,Non,57,84,83,67,57,50,43,35,54,45,69,71,42,32,39,33,55,53,30,28,37,37,47,52,66,61,69,40,50,16,22
Tom Bass C558,1,Non,34,43,48,33,25,24,27,20,21,56,78,51,29,18,24,41,74,31,18,17,23,28,45,64,67,62,74,52,30,8,16
Katy Park C559,1,Non,28,49,47,34,28,NV,27,18,26,51,73,49,26,18,24,30,53,32,20,20,25,29,38,56,64,63,69,55,40,16,23
Atascocita C560,1,Non,60,79,74,65,56,45,41,31,50,42,66,71,45,35,40,30,64,50,27,21,39,39,49,50,60,55,63,32,43,13,16
Meyer Park C561,1,Non,40,87,76,55,47,38,35,26,46,58,75,64,35,24,30,31,63,44,25,26,29,31,52,52,63,57,65,41,51,16,23
Bunker Hill Village C562,1,Non,40,55,53,41,35,29,29,22,29,72,91,49,27,21,25,33,71,33,19,16,25,28,40,54,66,64,76,50,38,11,14
Clear Brook High School C570,1,Non,36,45,55,32,25,23,26,21,21,58,71,52,28,18,20,37,74,28,16,NA,NA,NA,NA,NA,NV,59,69,48,29,12,14
Clear Creek High School C571,1,Non,42,44,55,33,24,23,26,21,23,55,70,52,30,20,20,40,72,21,18,18,26,28,51,57,64,58,63,45,32,14,14
Clear Lake High School C572,1,Non,46,57,63,38,29,25,28,21,23,62,80,56,34,22,24,43,83,33,22,20,28,37,60,58,67,60,68,46,31,17,17
HRM-3 Haden Road C603/A114,1,Non,62,60,75,28,22,31,31,23,34,60,72,41,34,22,36,38,64,41,19,NV,26,38,55,49,59,53,62,38,41,8,10
Wallisville Road C617,1,Non,69,67,57,76,51,44,45,31,44,46,75,71,53,27,48,36,64,44,30,19,34,50,69,53,65,58,65,36,37,NV,15
Danciger C618,1,Non,30,29,38,24,20,19,26,15,15,21,46,35,18,14,19,29,55,22,17,16,21,25,30,43,77,76,84,68,22,14,16
Mustang Bayou C619,1,Non,36,37,47,31,24,23,28,18,21,43,70,49,29,21,19,NV,70,25,19,21,27,27,37,75,77,65,72,53,27,16,15
Texas City 34th St. C620,1,Non,40,42,51,32,22,20,26,14,16,34,65,49,29,15,18,41,73,19,18,16,20,21,37,65,68,62,64,47,24,15,21
UH Moody Tower C695,1,Non,NV,62,64,47,41,37,37,28,32,92,102,68,NV,NV,39,46,84,45,26,26,33,40,62,70,73,66,75,49,50,15,22
U of H-Sugarland C696,1,Non,30,42,44,36,27,24,28,20,25,44,63,48,27,18,24,37,66,34,21,20,25,31,37,65,75,70,84,65,40,16,22
UH Coastal Center C697,1,Non,35,39,54,30,25,22,26,17,18,43,73,52,29,18,20,43,82,23,20,19,25,27,38,71,70,63,65,50,29,17,17
UH WG Jones Forest C698,1,Non,47,92,83,59,57,53,43,35,66,43,69,79,43,37,30,38,68,59,30,36,34,33,44,53,69,65,71,47,54,25,31
UH West Liberty C699,1,Non,48,62,53,71,62,45,48,44,43,34,59,NV,NV,34,42,38,60,60,35,26,41,45,44,55,64,58,65,32,38,21,17
Lynchburg Ferry C1015/A165,1,Reg,69,58,68,64,37,34,38,23,34,51,80,54,42,22,40,38,67,NV,23,21,28,38,68,49,59,55,61,NA,NA,NA,NV
Lake Jackson C1016,1,Reg,32,27,41,23,16,16,24,14,15,25,49,41,18,14,15,27,48,20,16,16,22,22,32,52,80,64,72,62,22,14,16
Galveston 99th St. C1034/A320/X183,1,Reg,31,31,NA,NV,20,19,20,16,16,NA,NV,48,35,15,16,38,79,30,19,15,20,18,33,73,81,72,68,49,40,16,25
