Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,28,24,27,25,23,35,31,49,42,21,33,12,13,18,35,20,10,9,19,40,48,34,37,51,26,50,37,33,21,37
Houston Aldine C8/AF108/X150,2,Reg,27,24,28,24,31,29,31,42,46,21,39,13,16,21,32,25,15,11,24,39,43,NV,NA,NA,NA,NA,NA,NA,NA,NV
Channelview C15/AH115,3,Reg,23,21,20,21,22,44,30,42,43,20,33,16,15,19,32,19,11,9,16,38,45,32,37,49,30,46,35,29,21,29
Northwest Harris Co. C26/A110/X154,2,Reg,32,33,39,33,43,33,32,56,47,24,39,28,20,24,41,35,24,17,28,43,46,45,43,51,41,52,40,32,33,59
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,26,23,26,27,22,29,33,58,40,18,28,19,14,21,35,20,15,12,20,37,48,42,46,52,31,43,43,35,27,34
Seabrook Friendship Park C45,1,Reg,23,23,22,25,23,NV,36,52,39,12,23,NV,15,24,39,NV,NV,14,26,40,48,45,51,52,34,48,44,35,34,34
Houston Bayland Park C53/A146,1,Reg,23,24,23,27,27,31,32,74,33,16,28,17,17,27,50,24,18,14,22,48,59,54,46,62,32,56,47,40,34,42
Conroe Relocated C78/A321,1,Reg,42,41,37,44,35,35,34,38,67,36,51,25,20,27,35,27,26,18,27,40,47,38,41,52,41,48,40,32,31,39
Manvel Croix Park C84,1,Reg,23,23,22,23,21,20,30,64,26,15,19,23,17,27,40,21,17,15,19,37,51,54,58,57,34,46,44,33,37,34
Clinton C403/C304/AH113,3,Reg,24,17,23,21,20,29,31,49,29,15,24,15,16,21,41,14,10,9,17,38,49,41,43,54,32,48,40,31,25,33
Houston North Wayside C405/C1033,1,Reg,26,23,27,19,26,33,34,44,40,18,34,12,17,22,32,19,11,8,18,43,46,42,39,50,31,47,35,31,25,44
Houston Monroe C406,1,Reg,20,20,24,20,19,21,29,60,32,17,21,17,13,20,36,18,15,11,17,37,45,43,44,55,28,43,39,30,27,30
Lang C408,2,Reg,26,25,27,24,29,35,36,62,42,22,36,15,17,23,38,24,13,9,20,44,47,47,39,51,35,52,37,34,33,43
Houston Croquet C409,2,Reg,24,25,24,25,25,26,33,74,34,18,27,23,19,26,52,24,19,16,22,42,59,55,49,61,32,50,47,38,36,39
Houston Westhollow C410/C3003,1,Reg,24,26,25,24,26,28,32,72,36,20,30,22,20,27,52,25,21,18,25,50,53,52,49,58,37,60,41,42,40,41
Houston Texas Avenue C411,1,Reg,22,21,26,20,24,29,33,54,35,17,25,13,16,23,39,19,11,11,17,41,48,43,39,51,26,48,NV,34,28,35
Park Place C416,1,Reg,23,24,29,22,24,29,32,62,38,20,25,14,14,20,41,20,13,11,19,41,53,42,43,56,30,46,44,36,27,38
Sheldon C551,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NV,21,34,16,16,18,28,20,14,11,19,37,41,33,37,47,29,44,31,27,23,31
Baytown Wetlands Center C552,1,Non,22,19,20,23,20,27,26,46,40,13,27,19,14,20,30,18,11,11,16,35,44,36,41,48,30,43,40,34,23,27
Crosby Library C553,1,Non,23,25,22,24,24,32,27,33,50,20,42,16,14,17,29,22,14,11,19,39,42,29,37,49,29,45,30,27,21,32
West Houston C554,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,21,20,19,19,23,18,12,12,13,31,35,21,28,34,30,39,23,27,19,22
La Porte Sylvan Beach C556,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,23,22,15,21,32,19,16,15,20,34,40,39,41,46,31,41,42,32,26,30
Mercer Arboretum C557,1,Non,26,28,32,32,36,31,28,35,54,26,44,21,17,20,30,23,17,13,20,39,39,35,36,42,34,42,33,27,27,40
Tom Bass C558,1,Non,14,14,14,14,13,13,21,52,22,10,14,14,10,17,32,15,11,7,13,32,42,38,43,47,25,38,35,25,26,27
Katy Park C559,1,Non,28,25,26,26,27,26,33,59,32,19,27,26,20,25,43,30,22,22,26,47,50,44,48,58,39,60,40,36,38,47
Atascocita C560,1,Non,28,26,26,28,27,30,28,30,49,23,38,14,14,18,28,24,16,13,21,39,38,32,33,45,34,35,31,26,22,34
Meyer Park C561,1,Non,30,30,37,31,44,34,34,50,50,28,45,24,20,25,36,31,20,15,25,44,43,42,41,48,39,47,36,31,31,51
Bunker Hill Village C562,1,Non,23,25,24,24,25,30,30,62,35,20,31,17,18,25,40,23,14,11,18,43,47,48,43,51,34,55,36,35,35,35
Huffman Wolf Road C563,1,Non,17,20,16,17,16,20,19,21,44,16,32,12,8,12,20,14,9,6,13,32,29,NV,24,30,23,31,23,17,13,22
Clear Brook High School C570,1,Non,25,25,27,25,22,25,NV,66,37,20,24,23,16,27,39,22,NV,12,20,39,51,52,54,54,33,48,44,39,36,36
