Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,23,41,31,31,26,31,47,50,27,23,7,34,49,48,36,41,38,45,58,67,78,51,58,54,42,52,29,18,20,33
Houston Aldine C8/AF108/X150,2,Reg,30,46,45,35,24,43,48,67,30,26,19,42,57,60,39,47,50,53,64,67,59,55,62,57,47,57,39,22,32,43
Channelview C15/AH115,3,Reg,22,34,29,31,23,35,36,46,29,24,13,34,42,45,29,36,31,36,49,57,62,46,52,49,39,49,33,26,21,36
Northwest Harris Co. C26/A110/X154,2,Reg,36,46,45,32,22,20,38,53,26,24,23,40,59,64,39,48,59,47,63,64,NV,51,62,52,44,50,42,23,32,40
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,27,35,34,NV,NA,NV,NV,NV,NV,22,12,36,43,46,NV,38,NV,NV,48,61,56,55,64,47,45,55,32,23,NV,NV
Seabrook Friendship Park C45,1,Reg,32,37,33,29,19,28,32,46,30,25,18,37,44,49,33,43,36,43,48,57,52,57,63,48,52,58,37,25,27,38
Houston Bayland Park C53/A146,1,Reg,31,36,39,26,16,21,28,42,26,18,9,42,45,49,28,39,42,33,60,60,90,63,66,63,48,63,37,24,31,44
Conroe Relocated C78/A321,1,Reg,40,41,37,46,27,26,46,64,31,32,29,44,52,60,39,45,46,67,51,58,50,52,61,51,48,54,43,26,33,44
Manvel Croix Park C84,1,Reg,35,40,39,28,21,20,27,42,25,20,18,53,47,52,32,42,40,NV,NA,NA,NV,65,76,54,63,67,41,31,33,49
Clinton C403/C304/AH113,3,Reg,29,NV,NV,24,21,26,42,40,22,18,12,37,46,47,30,37,41,36,56,61,78,54,62,54,46,53,33,25,26,40
Houston North Wayside C405/C1033,1,Reg,20,35,35,26,18,31,38,47,20,15,10,32,44,44,30,35,37,38,52,55,59,43,47,46,36,47,29,20,23,35
Houston Monroe C406,1,Reg,24,32,32,21,17,18,30,36,22,18,9,36,39,44,NV,36,32,29,46,52,60,55,64,46,45,53,29,20,21,33
Lang C408,2,Reg,29,50,47,25,21,27,40,51,22,22,14,41,57,56,32,41,45,37,64,65,66,54,64,55,45,56,40,20,28,38
Houston Croquet C409,2,Reg,32,38,39,28,21,24,29,41,27,20,13,44,44,48,30,41,41,34,54,57,89,71,74,57,49,62,35,26,32,44
Houston Westhollow C410/C3003,1,Reg,34,43,36,27,18,24,28,45,27,23,17,47,52,57,33,42,43,36,68,59,84,63,72,66,50,66,38,27,36,46
Houston Texas Avenue C411,1,Reg,26,39,38,26,20,28,38,45,23,19,NV,NV,49,49,30,38,40,34,61,61,79,53,54,58,42,53,34,20,26,39
Park Place C416,1,Reg,29,40,39,27,23,23,35,43,25,20,10,39,45,49,32,39,38,36,54,58,83,60,64,54,48,56,34,23,25,39
Sheldon C551,1,Non,19,34,27,32,24,34,33,44,29,22,NA,NA,NA,NV,34,41,38,46,51,55,59,51,55,54,42,52,34,30,28,42
Baytown Wetlands Center C552,1,Non,24,28,23,23,15,25,27,32,29,20,14,31,35,40,25,33,27,32,36,46,45,43,52,41,38,45,28,22,20,31
Crosby Library C553,1,Non,NA,NA,NV,31,22,36,31,41,32,24,16,32,45,49,29,37,34,36,44,50,46,47,52,47,39,50,27,26,23,35
West Houston C554,1,Non,31,46,34,29,18,20,28,45,25,18,14,42,57,62,32,40,21,22,63,56,73,57,67,57,40,59,38,23,33,41
La Porte Sylvan Beach C556,1,Non,32,39,32,29,19,30,35,48,32,26,20,39,49,51,35,47,37,46,51,60,54,48,59,45,49,55,35,25,23,35
Mercer Arboretum C557,1,Non,24,31,30,21,14,21,34,48,22,15,10,28,40,44,28,33,34,42,44,45,40,24,43,37,28,37,23,13,18,28
Tom Bass C558,1,Non,26,30,30,20,17,15,22,31,18,15,11,36,37,42,25,33,32,27,44,50,60,56,63,44,47,51,31,23,23,36
Katy Park C559,1,Non,28,37,32,24,21,20,25,31,18,15,14,34,46,51,25,33,26,27,58,44,68,52,59,52,39,52,37,24,30,36
Atascocita C560,1,Non,23,32,27,31,21,37,35,46,26,21,14,29,38,43,27,33,32,42,42,44,42,40,45,43,33,42,27,19,20,33
Meyer Park C561,1,Non,27,36,33,23,16,18,38,50,17,19,13,32,47,51,30,38,46,39,53,56,51,42,53,45,34,46,31,17,25,34
Bunker Hill Village C562,1,Non,27,37,37,21,15,22,31,41,19,17,10,40,49,51,28,37,36,33,60,55,73,52,61,57,43,55,34,22,30,40
Huffman Wolf Road C563,1,Non,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clear Brook High School C570,1,Non,32,36,35,27,20,24,37,44,25,23,14,44,46,49,32,41,36,38,51,62,55,59,70,49,56,67,37,28,26,42
Clear Creek High School C571,1,Non,35,37,35,28,20,27,40,49,29,24,17,40,48,51,35,43,37,45,51,64,52,60,68,50,50,68,42,32,31,45
Clear Lake High School C572,1,Non,30,35,33,26,19,27,36,48,28,24,15,40,44,50,34,42,36,44,49,62,53,57,65,49,52,65,35,28,28,39
HRM-3 Haden Road C603/A114,1,Non,25,43,36,34,26,NV,NA,NV,31,28,11,38,52,53,35,45,43,49,60,71,79,57,67,60,50,59,36,25,24,41
Wallisville Road C617,1,Non,30,38,29,30,20,45,34,41,34,24,19,36,43,49,32,39,32,39,45,56,61,51,58,53,44,50,34,28,24,36
Danciger C618,1,Non,27,27,21,19,8,11,13,24,16,16,19,38,35,39,NV,27,37,29,41,45,63,NV,64,47,52,41,35,33,36,47
Mustang Bayou C619,1,Non,35,36,34,27,17,19,30,38,23,23,20,40,45,49,31,40,36,NV,46,57,52,54,65,46,50,66,37,33,32,45
Texas City 34th St. C620,1,Non,39,38,38,30,18,21,38,49,29,25,22,40,47,55,37,47,42,48,50,65,54,62,NV,50,59,72,49,36,31,41
UH Moody Tower C695,1,Non,32,41,42,30,23,25,37,47,NV,22,NV,NV,49,52,NV,39,NV,37,61,NV,85,59,NV,NV,47,57,37,25,29,NV
U of H-Sugarland C696,1,Non,35,38,28,23,17,17,21,33,23,20,17,43,41,46,25,33,31,28,46,46,78,69,70,52,49,62,37,25,31,41
UH Coastal Center C697,1,Non,32,33,33,25,15,17,32,40,23,20,17,36,42,46,29,39,36,34,44,56,45,53,56,41,45,60,36,32,27,39
UH WG Jones Forest C698,1,Non,38,40,38,43,26,26,49,71,31,28,28,43,51,60,42,44,52,64,54,63,49,51,60,50,44,52,40,22,33,42
UH West Liberty C699,1,Non,30,40,33,36,30,45,36,46,43,29,21,37,47,56,32,40,39,44,46,52,48,51,NV,NV,45,53,33,22,25,41
Lynchburg Ferry C1015/A165,1,Reg,23,33,28,28,18,30,30,40,27,22,15,30,41,44,30,37,31,36,45,54,54,48,54,48,38,47,28,24,19,26
Lake Jackson C1016,1,Reg,NV,31,25,24,14,13,20,NV,19,20,18,42,40,42,29,35,30,32,39,47,55,48,56,40,51,41,37,34,33,NA
Baytown Garth C1017,1,Reg,28,40,32,31,22,48,36,46,37,26,21,38,46,53,35,43,36,42,50,59,66,55,63,59,47,55,36,30,26,39
Galveston 99th St. C1034/A320/X183,1,Reg,44,39,38,29,19,19,44,46,37,26,29,47,50,54,37,46,41,46,51,60,54,56,68,51,74,82,47,NV,31,40
